MD (m RKB);Inc (deg);Azim (deg);TVD (m RKB);E/W (m);N/S (m);DLS (deg/30m)
145.9;0;0;145.9;1.114;-1.956;0
218.5;0.26;197.21;218.5;1.065;-2.113;0.11
221;0.26;200.8;221;1.06;-2.119;0.2
259;0.18;255.31;259;0.977;-2.217;0.17
299.5;0.35;240.89;299.5;0.807;-2.293;0.13
340;0.44;34.96;340;0.788;-2.226;0.57
394.3;0.35;344.16;394.3;0.862;-1.896;0.19
420.4;0.35;352.69;420.4;0.83;-1.74;0.06
422;0.55;345.5;422;0.81;-1.797;3.89
454.9;4.66;197.74;454.9;0.39;-2.971;4.68
497.7;8.93;199.58;497.4;-1.254;-7.759;3
537.6;14.03;193.34;536.4;-3.409;-15.388;3.94
565.7;17.5;186.45;563.5;-4.669;-22.898;4.21
604.9;21.91;183.39;600.4;-5.766;-36.079;3.46
686.3;28.66;182.17;673.9;-7.404;-70.756;2.5
727;30.48;183.06;709.3;-8.325;-90.838;1.38
767.7;33.77;185.48;743.8;-9.955;-112.392;2.61
807.8;37.83;187.45;776.3;-12.62;-135.73;3.15
848;41.28;189.89;807.3;-16.492;-160.989;2.83
888;46.52;189.17;836.1;-21.077;-188.354;3.94
928.4;50.33;189.21;862.9;-25.905;-218.191;2.83
968.1;54.27;190.58;887.2;-31.314;-249.142;3.09
996;55.74;190.73;902.5;-35.691;-272.006;1.58
1059.4;59.07;191.08;937.4;-45.653;-324.05;1.58
1140.7;58.96;190.82;979.2;-58.882;-392.421;0.09
1181;58.83;190.55;1000;-65.289;-426.379;0.2
1201;58.83;190.55;1010.4;-68.418;-443.177;0
