MD (m RKB);Inc (deg);Azim (deg);TVD (m RKB);E/W (m);N/S (m);DLS (deg/30m)
145.9;0;0;145.9;2.418;-1.213;0
155.1;0.18;5.42;155.1;2.419;-1.199;0.59
195.4;0.33;37.78;195.4;2.496;-1.044;0.15
197;0.34;38.57;197;2.506;-1.036;0.23
235.8;0.61;58.22;235.8;2.75;-0.839;0.24
276.2;1.55;62.5;276.2;3.418;-0.474;0.7
316.6;1.55;67.03;316.6;4.406;-0.008;0.09
356.9;1.9;71.62;356.9;5.541;0.415;0.28
397.3;3.61;88.22;397.2;7.448;0.666;1.39
437.7;4.31;83.62;437.5;10.228;0.874;0.57
478;4;69.33;477.7;13.049;1.539;0.8
518.4;3.37;50.31;518;15.281;2.794;1.01
558.7;2.15;26.9;558.3;16.534;4.225;1.22
599.1;0.79;14.51;598.7;16.947;5.171;1.03
639.5;0.26;72.65;639.1;17.104;5.468;0.51
679.8;0.26;75.13;679.4;17.28;5.518;0.01
720.2;0.27;77.66;719.8;17.462;5.562;0.01
760.5;0.29;85.64;760.1;17.656;5.59;0.03
800.9;0.35;107.43;800.5;17.876;5.561;0.1
841.3;0.47;160.22;840.9;18.049;5.368;0.28
881.7;0.48;160.6;881.3;18.162;5.053;0.01
922;0.35;168.3;921.6;18.243;4.773;0.11
962.4;0.26;163.24;962;18.294;4.564;0.07
1002.8;0.22;163.51;1002.4;18.343;4.402;0.03
1043.2;0.23;170.57;1042.8;18.378;4.248;0.02
1077;0.26;208.5;1076.6;18.344;4.119;0.14
1083.5;0.26;215.79;1083.1;18.338;4.094;0.15
1123.9;0.26;211.34;1123.5;18.236;3.941;0.01
1164.2;0.2;193.67;1163.8;18.172;3.795;0.07
1204.6;0.19;177.78;1204.2;18.158;3.659;0.04
1245;0.19;174.09;1244.6;18.168;3.526;0.01
1285.4;0.19;173.14;1285;18.183;3.393;0
1325.8;0.19;171.51;1325.4;18.2;3.26;0
1366.1;0.18;125.54;1365.7;18.262;3.157;0.11
1406.5;0.18;123.89;1406.1;18.366;3.085;0
1446.8;0.18;125.43;1446.4;18.47;3.013;0
1487.2;0.18;125.43;1486.8;18.574;2.939;0
1527.5;0.18;127.74;1527.1;18.675;2.864;0.01
1567.9;0.18;129.47;1567.5;18.775;2.785;0
1608.2;0.18;129.69;1607.8;18.872;2.704;0
1648.6;0.19;223.96;1648.2;18.874;2.615;0.2
1689;0.19;223.56;1688.6;18.782;2.518;0
1729.3;0.19;225.71;1728.9;18.688;2.423;0.01
1769.7;0.19;224.86;1769.3;18.593;2.329;0
1810;0.19;226.63;1809.6;18.497;2.236;0
1850.4;0.19;227.97;1850;18.399;2.145;0
1890.8;0.19;260.83;1890.4;18.283;2.089;0.08
1931.1;0.19;261.93;1930.7;18.151;2.069;0
1971.5;0.19;263.57;1971.1;18.018;2.052;0
2011.8;0.19;258.37;2011.4;17.886;2.031;0.01
2052.5;0.19;238.2;2052.1;17.762;1.982;0.05
2092.5;0.16;275.09;2092.1;17.65;1.952;0.09
2132.9;1.74;12.52;2132.5;17.727;2.556;1.31
2173.2;3.98;16.68;2172.7;18.261;4.493;1.67
2213.6;7.98;18.75;2212.9;19.566;8.494;2.97
2253.9;8.15;20.38;2252.8;21.46;13.82;0.21
2275;8.25;21.14;2273.7;22.55;16.642;0.21
2294.3;8.34;21.84;2292.8;23.547;19.224;0.21
2334.6;10.09;24.04;2332.5;26.072;25.162;1.33
2375;12.41;27.18;2372.2;29.498;32.256;1.78
2415.3;14.84;28.1;2411.3;33.907;40.662;1.82
2455.8;17.2;31.13;2450.2;39.447;50.365;1.85
2496.1;19.35;41.69;2488.5;46.971;60.455;2.93
2536.5;23.77;49.56;2526.1;57.626;70.742;3.92
2576.9;28.22;56.01;2562.4;71.753;81.37;3.91
2617.3;32.3;55.37;2597.3;88.561;92.849;3.04
2655.9;35.58;54.59;2629.3;106.204;105.22;2.57
2673.9;37.39;54.82;2643.8;114.94;111.403;3.03
2707;39.85;55.29;2669.6;131.859;123.223;2.25
2747.2;40.19;55.74;2700.4;153.162;137.855;0.33
2784;39.65;55.09;2728.7;172.594;151.279;0.55
2790.4;39.56;54.98;2733.6;175.965;153.608;0.55
2830.8;43.81;57.3;2763.7;198.258;168.538;3.36
2870.7;49.28;59.12;2791.2;222.889;183.78;4.23
2911.5;54.4;59.01;2816.4;250.43;200.287;3.76
2950.8;60.08;58.76;2837.6;278.697;217.352;4.34
2991.5;64.34;59.52;2856.6;309.592;235.807;3.18
3032.2;66.85;65.62;2873.4;342.458;252.843;4.49
3072.8;69.7;71.1;2888.5;377.519;266.734;4.31
3112.4;71.9;73.97;2901.5;413.233;277.964;2.64
3153.5;74.71;74.92;2913.3;451.146;288.515;2.16
3193.7;77.75;78.46;2922.9;489.066;297.478;3.43
3233.2;80.75;81.97;2930.2;527.347;304.074;3.47
3273.3;81.08;85.25;2936.6;566.682;308.478;2.44
3315;76.91;85.46;2944.5;607.443;311.79;3.01
3355.4;71.94;85.7;2955.4;646.231;314.79;3.69
3395.9;71.34;85.44;2968.1;684.611;317.763;0.48
3436.2;67.98;86.53;2982.1;722.225;320.407;2.62
3476.5;65.26;89.03;2998.1;759.226;321.85;2.65
3514.8;61.86;89.99;3015.2;793.486;322.147;2.75
3556;57.08;91.4;3036.1;828.943;321.727;3.59
3596.2;51.69;92.76;3059.5;861.654;320.553;4.1
3638.1;48.65;94.05;3086.3;893.724;318.652;2.29
3678.4;49.69;93.65;3112.7;924.163;316.605;0.81
3695;49.89;93.71;3123.4;936.847;315.779;0.37
