MD (m RKB);Inc (deg);Azim (deg);TVD (m RKB);E/W (m);N/S (m);DLS (deg/30m)
145.9;0;0;145.9;2.228;-3.911;0
150;0.02;28.15;150;2.229;-3.911;0.15
160;0.05;27.73;160;2.232;-3.905;0.09
170;0.04;30.13;170;2.235;-3.898;0.03
180;0.03;35.69;180;2.239;-3.893;0.03
190;0.04;31.77;190;2.242;-3.888;0.03
200;0.04;37.25;200;2.246;-3.882;0.01
202;0.04;43.34;202;2.247;-3.881;0.09
210;0.06;67.69;210;2.253;-3.878;0.1
220;0.14;85.78;220;2.27;-3.875;0.26
230;0.2;111.58;230;2.298;-3.88;0.29
240;0.27;125.12;240;2.334;-3.9;0.27
250;0.28;127.84;250;2.372;-3.929;0.05
260;0.28;131.59;260;2.41;-3.96;0.05
270;0.3;129.68;270;2.448;-3.993;0.07
280;0.31;129.81;280;2.489;-4.027;0.03
290;0.34;129.07;290;2.533;-4.063;0.09
300;0.41;128.66;300;2.584;-4.104;0.21
310;0.55;123.69;310;2.652;-4.153;0.44
320;0.84;119.22;320;2.756;-4.215;0.88
330;1.2;117.73;330;2.913;-4.3;1.08
340;1.54;116.39;340;3.126;-4.408;1.02
350;2.1;114.55;350;3.413;-4.544;1.69
360;2.64;117.59;360;3.783;-4.727;1.66
370;2.89;119.53;370;4.207;-4.958;0.8
380;3.46;117.59;380;4.694;-5.222;1.74
390;4.06;115.82;389.9;5.28;-5.516;1.83
400;4.32;115.51;399.9;5.938;-5.832;0.78
410;4.53;115.75;409.9;6.634;-6.166;0.63
420;4.78;116.07;419.8;7.364;-6.521;0.75
430;4.98;115.78;429.8;8.129;-6.893;0.6
440;5.08;115.36;439.8;8.92;-7.271;0.32
450;5.39;115.5;449.7;9.744;-7.663;0.93
460;5.79;115.11;459.7;10.625;-8.079;1.21
470;6.04;114.6;469.6;11.56;-8.512;0.77
480;6.31;114.83;479.6;12.537;-8.962;0.81
490;6.62;114.05;489.5;13.562;-9.428;0.97
500;6.99;113.89;499.4;14.645;-9.909;1.11
510;7.14;114;509.4;15.769;-10.408;0.45
520;7.38;113.71;519.3;16.925;-10.919;0.73
530;7.79;114.26;529.2;18.13;-11.456;1.25
540;8.4;114.62;539.1;19.412;-12.039;1.84
550;8.86;114.55;549;20.777;-12.663;1.38
560;9.3;114.83;558.9;22.211;-13.322;1.33
570;9.71;115.07;568.7;23.708;-14.019;1.24
580;10.1;115.21;578.6;25.265;-14.75;1.17
590;10.68;115.04;588.4;26.898;-15.515;1.74
600;11.23;115.09;598.2;28.619;-16.32;1.65
610;11.89;115.65;608;30.43;-17.179;2.01
620;12.15;115.66;617.8;32.307;-18.081;0.78
630;12.39;115.86;627.6;34.221;-19.005;0.73
640;12.77;116.66;637.3;36.174;-19.968;1.25
650;13.11;117.53;647.1;38.168;-20.989;1.18
660;13.29;118.11;656.8;40.187;-22.054;0.67
670;13.46;118.65;666.5;42.222;-23.154;0.63
680;13.71;119.67;676.3;44.273;-24.298;1.04
690;13.91;121.43;686;46.329;-25.512;1.4
700;14.02;122.28;695.7;48.378;-26.786;0.7
710;14.19;123.08;705.4;50.429;-28.101;0.78
720;14.44;124.37;715.1;52.486;-29.474;1.22
730;14.75;125.72;724.7;54.548;-30.921;1.38
