MD (m RKB);Inc (deg);Azim (deg);TVD (m RKB);E/W (m);N/S (m);DLS (deg/30m)
1253;57.44;281.9;1148.4;-295.178;83.085;1.11
1262.9;57.71;281.98;1153.7;-303.447;84.771;0.84
1272.9;58.1;282.06;1159;-311.746;86.596;1.19
1282.9;58.55;282.16;1164.3;-320.045;88.381;1.38
1292.9;58.89;282.25;1169.5;-328.393;90.186;1.04
1302.9;59.08;282.29;1174.6;-336.712;92.001;0.58
1312.9;59.24;282.4;1179.7;-345.091;93.937;0.56
1322.9;58.95;282.46;1184.9;-353.44;95.712;0.89
1332.9;58.46;282.45;1190.1;-361.819;97.527;1.47
1342.9;58.05;282.34;1195.3;-370.078;99.292;1.26
1353;57.74;282.42;1200.7;-378.397;101.118;0.95
1363;57.37;282.54;1206;-386.605;102.993;1.15
1372.9;56.77;282.59;1211.5;-394.774;104.848;1.81
1382.9;56.41;282.7;1217;-402.943;106.533;1.11
1392.9;55.92;282.83;1222.5;-411.042;108.378;1.51
1402.9;55.83;282.94;1228.1;-419.141;110.363;0.38
1412.9;56.29;283.03;1233.7;-427.14;112.068;1.4
1422.9;57.06;283.03;1239.3;-435.368;114.113;2.3
1433;57.71;283.09;1244.6;-443.517;116.078;1.95
1442.9;57.8;283.07;1250;-451.656;117.964;0.28
1453;58.17;283.11;1255.3;-459.965;119.839;1.11
1463;58.84;283.11;1260.5;-468.304;121.644;2.01
1473;59.11;283.07;1265.7;-476.672;123.689;0.82
1482.9;58.79;283.21;1270.8;-484.921;125.704;1.03
1485;58.65;283.27;1271.9;-486.647;126.098;2.21
1492.9;58.1;283.51;1276;-493.22;127.6;2.21
1498;58.24;283.86;1278.7;-497.419;128.622;1.94
1502.9;58.37;284.2;1281.3;-501.479;129.595;1.93
1513;57.92;285.47;1286.6;-509.757;131.73;3.5
1522.9;58.21;286.21;1291.9;-517.816;134.145;2.08
1532.9;58.54;286.95;1297.1;-526.014;136.59;2.13
1543;58.94;287.9;1302.3;-534.133;139.115;2.71
1552.9;59.25;289.06;1307.4;-542.321;141.871;3.13
1563;59.51;290.41;1312.5;-550.429;144.716;3.57
1573;59.89;291.68;1317.6;-558.467;147.791;3.48
1582.9;60.35;292.75;1322.5;-566.455;151.066;3.12
1592.9;60.53;293.63;1327.5;-574.013;154.34;2.36
1602.9;60.6;293.63;1332.4;-582.451;158.036;0.21
1612.9;61.11;296.22;1337.2;-590.228;162.061;6.96
1622.9;61.24;296.77;1342;-598.046;165.966;1.5
1632.9;61.29;296.9;1346.8;-605.783;169.98;0.37
1642.9;61.37;296.59;1351.6;-613.701;173.925;0.85
1652.9;61;295.86;1356.4;-621.509;177.75;2.22
1662.9;60.08;294.6;1361.4;-629.406;181.495;4.29
1672.9;59.62;293.74;1366.4;-637.284;185.05;2.63
1682.9;59.45;292.99;1371.4;-645.152;188.475;2.01
1692.9;59.31;292.5;1376.5;-653.04;191.75;1.33
1702.9;59.66;291.76;1381.6;-660.988;195.025;2.18
1712.9;59.8;290.92;1386.6;-668.976;198.18;2.22
1722.9;59.87;290.21;1391.7;-676.974;201.245;1.85
1732.9;59.76;289.52;1396.7;-685.232;204.29;1.82
1742.9;59.47;288.63;1401.8;-693.31;207.205;2.46
1752.9;59.4;288.13;1406.8;-701.488;210.06;1.31
1762.9;59.17;287.2;1411.9;-709.787;212.686;2.49
1773;58.98;286.54;1417.1;-718.055;215.111;1.79
1782.9;59.09;285.95;1422.2;-726.264;217.526;1.55
1792.9;59.2;285.1;1427.4;-734.572;219.861;2.22
1802.9;58.91;284.28;1432.5;-742.911;222.127;2.28
1812.9;59;283.77;1437.7;-751.259;224.232;1.34
