MD (m RKB);Inc (deg);Azim (deg);TVD (m RKB);E/W (m);N/S (m);DLS (deg/30m)
4202.3;78.85;108.76;3120.6;1148.547;295.457;1.9
4242.1;79.01;107.19;3128.3;1185.698;283.404;1.17
4282.7;78.9;106.62;3136;1223.824;271.817;0.42
4322.7;78.97;106.47;3143.7;1261.455;260.638;0.12
4362.4;77.5;106.91;3151.8;1298.683;249.476;1.16
4403.7;75.94;107.23;3161.3;1337.107;237.678;1.16
4443.4;78.75;107.82;3170;1374.04;226.014;2.17
4483.8;79.04;108.06;3177.8;1411.756;213.803;0.28
4524.2;77.65;107.51;3185.9;1449.431;201.717;1.11
4564.9;80.05;107.84;3193.8;1487.475;189.594;1.79
4605.4;82.04;108.48;3200.1;1525.486;177.125;1.55
4645.7;82.04;108.37;3205.7;1563.352;164.511;0.08
4671;79.48;107.27;3209.8;1587.123;156.868;3.3
4684;79.48;107.27;3212.1;1599.328;153.074;0
