MD (m RKB);Inc (deg);Azim (deg);TVD (m RKB);E/W (m);N/S (m);DLS (deg/30m)
145.9;0;0;145.9;0.925;-4.655;0
146;0;0;146;0.925;-4.655;0
154.9;0.16;221.03;154.9;0.916;-4.664;0.54
195.3;0.28;98.15;195.3;0.977;-4.721;0.29
221;0.51;63.39;221;1.138;-4.626;0.38
235.6;0.64;43.64;235.6;1.23;-4.572;0.48
276;1.51;188.03;276;1.311;-4.935;1.53
316.4;2.21;178.31;316.4;1.26;-6.241;0.57
356.7;4.11;173.29;356.6;1.452;-8.452;1.43
397.1;7.66;171.91;396.8;2;-12.557;2.64
437.5;9.13;178.88;436.8;2.441;-18.428;1.33
477.8;10.58;180.1;476.5;2.498;-25.325;1.09
518.2;11.35;177.18;516.1;2.687;-33.005;0.7
558.5;11.51;168.58;555.6;3.678;-40.907;1.27
598.9;12.38;160.99;595.2;5.887;-48.953;1.33
639.3;13.56;152.14;634.5;9.511;-57.236;1.71
679.6;14.3;144.14;673.7;14.635;-65.447;1.53
720;15.63;138.03;712.7;21.198;-73.538;1.53
760.4;18.5;128.65;751.3;29.847;-81.591;2.95
800.7;21.63;122.01;789.2;41.143;-89.524;2.88
841.1;23.86;117.08;826.4;54.735;-97.193;2.18
881.5;26.84;113.98;862.9;70.347;-104.621;2.42
921.8;25.33;116.92;899.1;86.348;-112.222;1.48
962.2;22.47;119.01;936.1;100.809;-119.881;2.21
1002.6;19.82;122.15;973.7;113.362;-127.271;2.14
1043;17.2;122.87;1012;124.18;-134.159;1.95
1083.3;15;123.11;1050.8;133.554;-140.242;1.64
1123.7;17.73;118.94;1089.5;143.319;-146.076;2.21
1164.1;21.77;113.96;1127.5;155.554;-152.098;3.25
1204.4;26.13;110.24;1164.4;170.718;-158.207;3.43
1244.8;29.6;108.19;1200.1;188.55;-164.401;2.67
1285.2;31.04;109.95;1234.9;207.821;-171.07;1.26
1325.6;28.6;112.14;1270;226.572;-178.269;1.98
1365.9;25.5;114.9;1305.9;243.38;-185.559;2.49
1405;29.75;114.66;1340.5;259.877;-193.17;3.26
1406.3;29.89;114.65;1341.6;260.425;-193.423;3.26
1446.6;31.1;113.78;1376.4;279.077;-201.808;0.96
1487;31.91;113.02;1410.8;298.452;-210.191;0.67
1527.3;31.93;113.02;1445;318.064;-218.523;0.01
1567.7;32.67;110.91;1479.2;338.083;-226.593;1
1608;33.69;107.7;1512.9;358.894;-233.874;1.51
1648.4;34.24;106.15;1546.4;380.486;-240.442;0.76
1688.8;34.99;103.16;1579.7;402.684;-246.242;1.38
1729.1;35.88;101.36;1612.5;425.515;-251.199;1.02
1769.5;35.93;103.37;1645.2;448.655;-256.272;0.88
1809.8;35.95;104.77;1677.9;471.598;-262.022;0.61
1850.2;35.83;106.25;1710.6;494.418;-268.354;0.65
1890.6;36.05;109.56;1743.3;516.974;-275.644;1.45
1930.9;36.8;111.45;1775.7;539.383;-284.028;1
1971.3;36.16;113.43;1808.2;561.582;-293.193;0.99
2011.7;35.9;113.73;1840.9;583.361;-302.699;0.23
2052;34.88;114.41;1873.7;604.672;-312.216;0.81
2092.4;33.5;112.95;1907.1;625.458;-321.338;1.19
2132.7;32.25;110.97;1941;645.741;-329.523;1.23
2173;32.85;108.23;1975;666.164;-336.791;1.18
2213.4;32.96;103.95;2008.9;687.24;-342.869;1.73
2253.7;33.13;101.52;2042.7;708.672;-347.711;0.99
2294.1;33.06;98.75;2076.5;730.382;-351.592;1.12
2334.4;33.27;95.46;2110.3;752.252;-354.317;1.35
2374.8;33.48;93.92;2144;774.4;-356.133;0.65
2415.2;33.45;93.04;2177.7;796.636;-357.485;0.36
2455.6;33.33;91.93;2211.4;818.848;-358.449;0.46
