MD (m RKB);Inc (deg);Azim (deg);TVD (m RKB);E/W (m);N/S (m);DLS (deg/30m)
145.9;0;0;145.9;-1.114;1.956;0
160;0.23;274.41;160;-1.142;1.958;0.49
170;0.26;272.78;170;-1.185;1.961;0.09
180;0.3;262.14;180;-1.234;1.958;0.2
190;0.22;267.67;190;-1.279;1.954;0.25
199;0.32;260.35;199;-1.321;1.949;0.35
202;0.32;249.16;202;-1.335;1.942;0.62
208;0.31;226.78;208;-1.363;1.928;0.61
218;0.4;244.76;218;-1.415;1.894;0.43
229;0.25;249.93;229;-1.472;1.87;0.42
240;0.46;229.35;240;-1.528;1.833;0.66
250;0.24;304.09;250;-1.576;1.818;1.38
259;0.22;334;259;-1.599;1.845;0.4
270;0.06;63.36;270;-1.603;1.866;0.62
280;0.31;14.41;280;-1.592;1.895;0.82
289;0.33;42.81;289;-1.568;1.937;0.53
296;0.22;272.12;296;-1.568;1.953;2.15
305;0.26;296.43;305;-1.603;1.962;0.36
317;0.24;247.57;317;-1.651;1.965;0.52
349.6;0.44;280.87;349.6;-1.837;1.962;0.25
359.4;0.42;300.4;359.4;-1.905;1.987;0.45
368.3;0.39;302.91;368.3;-1.958;2.02;0.12
387.9;0.6;271.39;387.9;-2.117;2.059;0.51
408.6;0.4;289.9;408.6;-2.293;2.086;0.37
437.4;0.63;262.49;437.4;-2.545;2.1;0.34
465.1;0.58;263.8;465.1;-2.835;2.065;0.06
489.1;2.21;273.05;489.1;-3.419;2.076;2.05
516;2.54;280.07;516;-4.523;2.208;0.49
545.9;2.89;264.68;545.9;-5.926;2.254;0.81
569.3;3.78;268.37;569.2;-7.281;2.178;1.18
609.6;5.24;263.11;609.4;-10.442;1.919;1.13
650.6;7.38;259.43;650.1;-14.882;1.212;1.6
690.3;9.04;261.55;689.4;-20.485;0.284;1.27
730.2;8.46;260.24;728.8;-26.465;-0.672;0.46
770.8;9.53;256.89;768.9;-32.686;-1.941;0.88
809.8;9.32;258.24;807.4;-38.922;-3.317;0.23
851.6;9.22;259.74;848.6;-45.526;-4.603;0.19
890.7;8.6;264.09;887.3;-51.523;-5.462;0.7
908;8.53;263.53;904.4;-54.047;-5.774;0.19
962.4;8.3;261.78;958.2;-61.98;-6.755;0.19
1005.4;8.53;262.86;1000.8;-68.216;-7.595;0.19
1044;8.66;263.46;1038.9;-73.937;-8.281;0.12
1062;8.66;263.46;1056.7;-76.636;-8.59;0
