MD (m RKB);TVD (m RKB);E/W (m);N/S (m);Section (in)
145.9;145.9;-3.534;3.165;30
150.2;150.2;-3.534;3.165;30
160.5;160.5;-3.534;3.165;30
170;170;-3.534;3.165;30
179.8;179.8;-3.534;3.165;30
189.7;189.7;-3.534;3.165;30
198.5;198.5;-3.534;3.165;30
210.7;210.7;-3.534;3.165;30
221;221;-3.674;3.253;30
221;221;-3.674;3.253;20
237.6;237.6;-3.899;3.396;20
251.1;251.1;-4.268;3.639;20
264.9;264.9;-4.698;3.944;20
279.2;279.2;-5.153;4.277;20
292.7;292.7;-5.522;4.54;20
302.8;302.8;-5.702;4.716;20
315.5;315.5;-5.834;4.965;20
332.2;332.1;-6.177;5.392;20
342.2;342.1;-6.535;5.663;20
358.5;358.4;-7.305;6.052;20
378;377.9;-8.279;6.522;20
414.8;414.6;-10.115;7.419;20
455.4;455.2;-12.188;8.307;20
495.4;495.1;-14.105;9.066;20
535.6;535.3;-15.932;9.794;20
575.8;575.4;-17.852;10.489;20
616.5;616;-20.052;11.631;20
656.8;656.2;-22.647;14.04;20
697.1;696.2;-25.761;17.991;20
720;718.8;-27.872;20.838;20
737.4;735.9;-29.776;23.237;20
756.8;755;-32.036;25.978;20
798.9;796.4;-36.764;31.681;20
838.3;835.2;-41.312;36.748;20
868;864.4;-45.33;40.439;20
878.2;874.4;-46.849;41.716;20
918;913.5;-52.391;46.887;20
999;993.3;-61.666;57.056;20
1079.8;1073.1;-69.75;66.728;20
1120.4;1113.1;-74.762;71.881;20
1160.8;1152.7;-81.006;77.09;20
1201;1192;-87.499;82.103;20
1241.4;1231.5;-94.1;87.368;20
1281.8;1271;-100.715;92.819;20
1322.4;1310.8;-106.899;97.993;20
1335.6;1323.8;-108.749;99.535;20
1348;1336;-110.01;100.945;20
1348;1336;-110.01;100.945;13.375
1387.1;1374.7;-113.987;105.39;13.375
1428;1415;-116.269;111.353;13.375
1468.3;1454.6;-116.701;119.13;13.375
1508.7;1494;-114.404;127.762;13.375
1551.3;1535.2;-109.641;137.326;13.375
1589.1;1571.4;-104.009;146.569;13.375
1629.5;1609.6;-96.805;157.588;13.375
1663.4;1641.1;-89.807;168.081;13.375
1710.4;1683.6;-78.755;184.623;13.375
1750.3;1718.9;-67.967;199.936;13.375
1790.4;1753.7;-56.158;215.898;13.375
1831.1;1788.9;-44.023;232.249;13.375
1871.1;1823.6;-32.057;248.309;13.375
1911.6;1858.7;-20.151;264.646;13.375
1952.2;1893.9;-8.542;281.164;13.375
1992.8;1929.1;3.056;297.712;13.375
2027.3;1959;12.967;311.77;13.375
2066.3;1992.8;24.11;327.704;13.375
2113.7;2033.9;37.731;346.975;13.375
2154.7;2069.5;49.5;363.627;13.375
2194.3;2103.8;61.049;379.591;13.375
2234.7;2138.9;73.311;395.5;13.375
2275.1;2173.9;85.658;411.41;13.375
2305.9;2200.6;94.81;423.784;13.375
2396.5;2279.1;121.111;460.684;13.375
2436.7;2313.8;132.819;477.116;13.375
2470.8;2343.3;142.954;490.956;13.375
2517.2;2383.4;156.922;509.686;13.375
2557.9;2418.6;168.861;526.33;13.375
2587;2443.7;177.018;538.477;13.375
2595;2450.7;178.733;541.879;13.375
2595;2450.7;178.733;541.879;8.5
2653.2;2501.9;191.206;566.629;8.5
2693.7;2538;196.603;584.021;8.5
2733.9;2574;199.866;601.589;8.5
2774.3;2610.2;200.296;619.525;8.5
2814.8;2646.5;198.083;637.397;8.5
2855.3;2682.7;193.662;654.978;8.5
2895.1;2717.9;186.724;672.274;8.5
2935.6;2753;176.944;689.958;8.5
2975.9;2787;164.716;707.642;8.5
3016.3;2820;149.623;725.395;8.5
3056.6;2852;131.868;742.388;8.5
3097.1;2883.2;111.465;758.191;8.5
3136.9;2912.2;88.673;773.093;8.5
3177.3;2939.4;63.306;788.711;8.5
3217.8;2967;37.963;804.147;8.5
3257.9;2996.4;14.756;818.316;8.5
3298.5;3028.2;-6.763;831.624;8.5
3338.7;3061.2;-26.066;843.872;8.5
3379;3095.9;-43.265;855.022;8.5
3419.2;3132.1;-57.992;864.638;8.5
3459.7;3169.5;-70.882;873.046;8.5
3499.9;3207;-83.095;880.759;8.5
3540.5;3244.9;-95.504;888.407;8.5
3580.5;3282.3;-107.665;895.935;8.5
3620.3;3319.5;-119.67;903.497;8.5
3632;3330.4;-123.19;905.736;8.5
