MD (m RKB);TVD (m RKB);E/W (m);N/S (m);Section (in)
2079.4;1581.5;-980.321;242.632;12.25
2108.9;1597.4;-1004.423;248.747;12.25
2137.7;1612.8;-1027.984;254.811;12.25
2167;1628.2;-1052.189;260.885;12.25
2196.1;1643.3;-1076.314;266.961;12.25
2225;1658.2;-1100.381;272.599;12.25
2253;1672.7;-1123.691;278.146;12.25
2281.7;1687.6;-1147.481;284.204;12.25
2309.6;1702;-1170.648;289.931;12.25
2338.6;1717;-1194.746;295.866;12.25
2367;1731.7;-1218.358;301.682;12.25
2395.7;1746.5;-1242.246;307.454;12.25
2424.6;1761.5;-1266.324;313.162;12.25
2453.9;1776.6;-1290.692;319.074;12.25
2484.4;1792.4;-1316.029;325.29;12.25
2513.9;1807.7;-1340.54;331.282;12.25
2541;1821.7;-1363.021;336.985;12.25
2569;1836.2;-1386.251;342.966;12.25
2597;1850.6;-1409.492;348.905;12.25
2626.9;1866.1;-1434.357;355.006;12.25
2655.8;1881;-1458.39;360.903;12.25
2684.6;1896;-1482.279;366.524;12.25
2713.6;1911.5;-1506.202;371.865;12.25
2743.1;1927.4;-1530.479;377.307;12.25
2771.4;1942.6;-1553.813;382.453;12.25
2800.6;1958.2;-1577.973;387.428;12.25
2829.5;1973.6;-1601.888;392.462;12.25
2857.9;1988.7;-1625.31;397.842;12.25
2886.7;2004.1;-1649.08;403.279;12.25
2914.8;2019;-1672.325;408.469;12.25
2943.4;2034.2;-1696.067;413.358;12.25
2971.9;2049.3;-1719.725;418.037;12.25
2999.2;2063.9;-1742.309;422.831;12.25
3029.6;2080;-1767.509;428.273;12.25
3058.8;2095.5;-1791.671;433.689;12.25
3087.6;2110.8;-1815.448;439.15;12.25
3114.8;2125.2;-1837.994;444.143;12.25
3144;2140.5;-1862.117;450.017;12.25
3174.2;2156.5;-1886.874;456.737;12.25
3204.5;2172.6;-1911.633;463.342;12.25
3233;2188;-1934.882;469.284;12.25
3261.8;2203.6;-1958.322;475.493;12.25
3353;2252.6;-2032.5;495.836;12.25
