MD (m RKB);TVD (m RKB);E/W (m);N/S (m);Section (in)
145.9;145.9;-0.19;-2.699;30
184.1;184.1;-0.216;-2.719;30
224.5;224.5;-0.286;-2.778;30
251;251;-0.435;-2.955;30
251;251;-0.435;-2.955;13.375
264.8;264.8;-0.512;-3.047;13.375
305.1;305.1;-0.982;-3.763;13.375
345.5;345.4;-1.988;-4.9;13.375
385.8;385.7;-4.318;-6.397;13.375
426.1;425.8;-8.075;-8.463;13.375
466.4;465.7;-12.192;-11.706;13.375
506.7;505.5;-15.511;-16.515;13.375
547;545.3;-17.476;-22.364;13.375
587.3;585.2;-18.184;-28.543;13.375
627.5;624.9;-18.312;-34.809;13.375
667.6;664.5;-17.907;-41.206;13.375
708;704.3;-16.783;-47.809;13.375
748.3;743.9;-14.962;-54.974;13.375
788.6;783.2;-12.056;-63.329;13.375
828.9;822.2;-7.963;-72.779;13.375
869.3;861;-2.968;-82.87;13.375
909.6;899.7;2.18;-93.032;13.375
949.9;938.5;6.836;-102.758;13.375
990.3;977.6;11.028;-111.819;13.375
1030.7;1016.9;15.168;-120.126;13.375
1071;1056.3;19.282;-127.84;13.375
1111.4;1095.7;23.66;-135.309;13.375
1151.7;1134.9;29.291;-143.48;13.375
1192.1;1173.4;35.702;-153.37;13.375
1232.4;1211.7;42.568;-164.033;13.375
1272.7;1250.2;49.507;-173.823;13.375
1313.1;1289;55.788;-182.824;13.375
1352;1326.5;61.638;-191.408;13.375
1352;1326.5;61.638;-191.408;9.625
1353.4;1327.9;61.853;-191.723;9.625
1393.7;1366.8;68.749;-200.035;9.625
1434.1;1405.5;77.32;-207.025;9.625
1474.4;1444.1;87.934;-212.365;9.625
1514.8;1482;100.861;-217.124;9.625
1555.1;1519.3;115.31;-222.673;9.625
1595.5;1556.1;130.429;-229.004;9.625
1635.8;1592.6;146.113;-236.251;9.625
1676.1;1628.9;162.269;-243.293;9.625
1716.5;1665.2;178.826;-248.833;9.625
1756.8;1701.6;195.555;-253.639;9.625
1797.2;1738.1;212.239;-258.705;9.625
1837.6;1774.5;228.838;-263.83;9.625
1877.9;1810.9;245.503;-268.816;9.625
1918.3;1847.3;262.123;-274.069;9.625
1958.6;1883.7;278.648;-279.507;9.625
1999;1920;295.369;-284.901;9.625
2039.3;1956.3;312.249;-290.259;9.625
2079.7;1992.4;329.217;-295.884;9.625
2120;2028.5;346.239;-301.851;9.625
2160.4;2064.6;363.151;-307.911;9.625
2200.7;2100.7;380.107;-314.066;9.625
2241.1;2136.8;397.122;-320.127;9.625
2281.4;2173;414.233;-325.662;9.625
2321.8;2209.2;431.463;-330.797;9.625
2362.2;2245.3;448.724;-335.905;9.625
2402.6;2281.3;466.093;-340.951;9.625
2442.9;2317.4;483.468;-345.871;9.625
2483.3;2353.5;500.947;-350.858;9.625
2523.6;2389.3;518.7;-356.027;9.625
2564;2425.1;536.582;-361.094;9.625
2604.3;2461.1;554.241;-366.237;9.625
2644.7;2497;571.5;-372.679;9.625
2685;2532.7;588.039;-381.473;9.625
2696.4;2542.8;592.512;-384.425;9.625
2740.8;2581.6;609.062;-397.975;9.625
2761;2599;616.042;-405.442;9.625
2761;2599;616.042;-405.442;7
2773.9;2610.2;620.497;-410.208;7
2800.7;2633;628.91;-421.35;7
2840.3;2666.7;639.885;-439.027;7
2879.9;2700.3;649.395;-457.598;7
2920.1;2734.3;657.51;-477.565;7
2959.1;2766.8;664.351;-498.037;7
3001.1;2801.3;671;-521.119;7
3041.5;2833.9;675.734;-544.311;7
3081.3;2865.7;677.746;-568.293;7
3121.8;2896.9;677.203;-593.936;7
3162.8;2927.3;674.879;-621.485;7
3203.5;2955.9;671.448;-650.242;7
3244.1;2982.7;666.752;-680.308;7
3284.8;3008;660.318;-711.467;7
3325.1;3031.9;652.38;-742.991;7
3365.1;3054.8;643.54;-774.575;7
3404.8;3077.5;634.228;-805.82;7
3444.8;3100.4;623.846;-836.864;7
3485;3123.6;611.906;-867.45;7
3508;3136.9;604.653;-884.773;7
