MD (m RKB);TVD (m RKB);E/W (m);N/S (m);Section (in)
145.9;145.9;2.228;-3.911;30
150;150;2.229;-3.911;30
160;160;2.232;-3.905;30
170;170;2.235;-3.898;30
180;180;2.239;-3.893;30
190;190;2.242;-3.888;30
200;200;2.246;-3.882;30
202;202;2.247;-3.881;30
202;202;2.247;-3.881;20
210;210;2.253;-3.878;20
220;220;2.27;-3.875;20
230;230;2.298;-3.88;20
240;240;2.334;-3.9;20
250;250;2.372;-3.929;20
260;260;2.41;-3.96;20
270;270;2.448;-3.993;20
280;280;2.489;-4.027;20
290;290;2.533;-4.063;20
300;300;2.584;-4.104;20
310;310;2.652;-4.153;20
320;320;2.756;-4.215;20
330;330;2.913;-4.3;20
340;340;3.126;-4.408;20
350;350;3.413;-4.544;20
360;360;3.783;-4.727;20
370;370;4.207;-4.958;20
380;380;4.694;-5.222;20
390;389.9;5.28;-5.516;20
400;399.9;5.938;-5.832;20
410;409.9;6.634;-6.166;20
420;419.8;7.364;-6.521;20
430;429.8;8.129;-6.893;20
440;439.8;8.92;-7.271;20
450;449.7;9.744;-7.663;20
460;459.7;10.625;-8.079;20
470;469.6;11.56;-8.512;20
480;479.6;12.537;-8.962;20
490;489.5;13.562;-9.428;20
500;499.4;14.645;-9.909;20
510;509.4;15.769;-10.408;20
520;519.3;16.925;-10.919;20
530;529.2;18.13;-11.456;20
540;539.1;19.412;-12.039;20
550;549;20.777;-12.663;20
560;558.9;22.211;-13.322;20
570;568.7;23.708;-14.019;20
580;578.6;25.265;-14.75;20
590;588.4;26.898;-15.515;20
600;598.2;28.619;-16.32;20
610;608;30.43;-17.179;20
620;617.8;32.307;-18.081;20
630;627.6;34.221;-19.005;20
640;637.3;36.174;-19.968;20
650;647.1;38.168;-20.989;20
660;656.8;40.187;-22.054;20
670;666.5;42.222;-23.154;20
680;676.3;44.273;-24.298;20
690;686;46.329;-25.512;20
700;695.7;48.378;-26.786;20
710;705.4;50.429;-28.101;20
720;715.1;52.486;-29.474;20
730;724.7;54.548;-30.921;20
740;734.4;56.62;-32.433;20
750;744.1;58.711;-33.998;20
760;753.7;60.837;-35.632;20
770;763.3;63.009;-37.347;20
780;772.9;65.242;-39.132;20
790;782.4;67.547;-40.98;20
800;792;69.946;-42.914;20
810;801.4;72.453;-44.93;20
820;810.9;75.048;-46.996;20
830;820.3;77.715;-49.097;20
840;829.6;80.46;-51.233;20
850;839;83.289;-53.386;20
860;848.3;86.198;-55.539;20
870;857.6;89.176;-57.683;20
880;866.9;92.203;-59.802;20
890;876.2;95.252;-61.895;20
900;885.5;98.28;-63.953;20
910;894.8;101.237;-65.934;20
920;904.2;104.104;-67.829;20
930;913.7;106.903;-69.666;20
940;923.1;109.656;-71.464;20
950;932.6;112.386;-73.218;20
960;942;115.118;-74.924;20
970;951.5;117.876;-76.578;20
980;961;120.667;-78.187;20
990;970.4;123.492;-79.755;20
1000;979.9;126.35;-81.281;20
1010;989.3;129.236;-82.776;20
1020;998.8;132.152;-84.242;20
1030;1008.2;135.121;-85.673;20
1040;1017.7;138.173;-87.062;20
1050;1027.1;141.309;-88.427;20
1060;1036.4;144.499;-89.8;20
1070;1045.8;147.717;-91.184;20
1080;1055.2;150.95;-92.588;20
1090;1064.5;154.194;-94.048;20
1100;1073.8;157.443;-95.611;20
1110;1083.1;160.69;-97.327;20
1120;1092.4;163.939;-99.226;20
1130;1101.6;167.204;-101.275;20
1140;1110.8;170.501;-103.429;20
1150;1120;173.866;-105.671;20
1160;1129.1;177.331;-107.985;20
1170;1138.1;180.901;-110.346;20
1180;1147.1;184.58;-112.725;20
1190;1156;188.368;-115.107;20
1200;1164.9;192.254;-117.477;20
1210;1173.8;196.237;-119.84;20
1220;1182.6;200.314;-122.208;20
1230;1191.4;204.482;-124.592;20
1240;1200.1;208.746;-127.012;20
1250;1208.8;213.097;-129.476;20
1260;1217.4;217.514;-131.971;20
1270;1226;221.973;-134.48;20
1280;1234.6;226.429;-136.98;20
1290;1243.2;230.837;-139.457;20
1300;1251.9;235.167;-141.899;20
1310;1260.6;239.421;-144.304;20
1320;1269.3;243.622;-146.693;20
1330;1278.1;247.781;-149.079;20
1340;1286.9;251.874;-151.441;20
1350;1295.8;255.882;-153.757;20
1360;1304.7;259.846;-156.041;20
1370;1313.6;263.812;-158.319;20
1380;1322.5;267.795;-160.595;20
1389;1330.4;271.413;-162.643;20
1389;1330.4;271.413;-162.643;13.375
1390;1331.3;271.815;-162.87;13.375
1400;1340.2;275.876;-165.159;13.375
1410;1349;279.971;-167.468;13.375
1420;1357.8;284.09;-169.781;13.375
1430;1366.6;288.201;-172.079;13.375
1440;1375.5;292.281;-174.357;13.375
1450;1384.3;296.33;-176.616;13.375
1460;1393.2;300.358;-178.859;13.375
1470;1402.1;304.373;-181.083;13.375
1480;1411;308.381;-183.295;13.375
1490;1419.9;312.376;-185.493;13.375
1500;1428.8;316.358;-187.67;13.375
1510;1437.7;320.335;-189.824;13.375
1520;1446.6;324.312;-191.959;13.375
1530;1455.6;328.28;-194.075;13.375
1540;1464.5;332.235;-196.171;13.375
1550;1473.5;336.187;-198.252;13.375
1560;1482.4;340.137;-200.32;13.375
1570;1491.4;344.074;-202.376;13.375
1580;1500.3;347.998;-204.415;13.375
1590;1509.3;351.914;-206.441;13.375
1600;1518.3;355.825;-208.454;13.375
1610;1527.3;359.728;-210.452;13.375
1620;1536.3;363.62;-212.433;13.375
1630;1545.3;367.507;-214.395;13.375
1640;1554.3;371.389;-216.34;13.375
1650;1563.3;375.26;-218.269;13.375
1660;1572.3;379.119;-220.176;13.375
1670;1581.4;382.974;-222.07;13.375
1680;1590.4;386.831;-223.957;13.375
1690;1599.4;390.696;-225.847;13.375
1700;1608.4;394.59;-227.753;13.375
1710;1617.4;398.533;-229.69;13.375
1720;1626.4;402.54;-231.68;13.375
1730;1635.3;406.621;-233.737;13.375
1740;1644.1;410.769;-235.855;13.375
1750;1652.9;414.979;-238.018;13.375
1760;1661.7;419.248;-240.23;13.375
1770;1670.4;423.563;-242.503;13.375
1780;1679.1;427.918;-244.842;13.375
1790;1687.8;432.317;-247.247;13.375
1800;1696.4;436.755;-249.711;13.375
1810;1705;441.229;-252.237;13.375
1820;1713.5;445.745;-254.826;13.375
1830;1722;450.305;-257.479;13.375
1840;1730.4;454.901;-260.212;13.375
1850;1738.8;459.54;-263.03;13.375
1860;1747.2;464.222;-265.946;13.375
1870;1755.5;468.944;-268.967;13.375
1880;1763.7;473.703;-272.102;13.375
1890;1771.8;478.497;-275.356;13.375
1900;1779.9;483.333;-278.713;13.375
1910;1787.9;488.223;-282.161;13.375
1920;1795.9;493.166;-285.709;13.375
1930;1803.7;498.159;-289.353;13.375
1940;1811.5;503.203;-293.091;13.375
1950;1819.2;508.305;-296.93;13.375
1960;1826.8;513.468;-300.866;13.375
1970;1834.3;518.701;-304.886;13.375
1980;1841.7;524.009;-308.971;13.375
1990;1849.1;529.391;-313.103;13.375
2000;1856.4;534.853;-317.273;13.375
2010;1863.5;540.395;-321.474;13.375
2020;1870.7;546.015;-325.699;13.375
2030;1877.7;551.692;-329.921;13.375
2040;1884.8;557.385;-334.114;13.375
2050;1891.9;563.075;-338.284;13.375
2060;1899;568.771;-342.451;13.375
2070;1906;574.481;-346.616;13.375
2080;1913.1;580.199;-350.77;13.375
2090;1920.2;585.92;-354.92;13.375
2100;1927.3;591.649;-359.068;13.375
2110;1934.3;597.39;-363.207;13.375
2120;1941.4;603.138;-367.329;13.375
2130;1948.5;608.893;-371.444;13.375
2140;1955.5;614.658;-375.561;13.375
2150;1962.6;620.433;-379.675;13.375
2160;1969.6;626.2;-383.776;13.375
2170;1976.7;631.954;-387.873;13.375
2180;1983.8;637.712;-391.975;13.375
2190;1990.9;643.478;-396.07;13.375
2200;1997.9;649.25;-400.15;13.375
2210;2005;655.034;-404.22;13.375
2220;2012.1;660.84;-408.277;13.375
2230;2019.1;666.669;-412.311;13.375
2240;2026.2;672.526;-416.325;13.375
2250;2033.2;678.407;-420.324;13.375
2260;2040.2;684.284;-424.311;13.375
2270;2047.3;690.139;-428.283;13.375
2280;2054.4;695.981;-432.25;13.375
2290;2061.4;701.826;-436.219;13.375
2300;2068.5;707.674;-440.181;13.375
2310;2075.6;713.533;-444.145;13.375
2320;2082.6;719.424;-448.129;13.375
2330;2089.6;725.332;-452.129;13.375
2340;2096.7;731.222;-456.116;13.375
2350;2103.7;737.082;-460.073;13.375
2360;2110.8;742.937;-464.027;13.375
2370;2117.9;748.805;-467.996;13.375
2380;2124.9;754.662;-471.964;13.375
2390;2132;760.502;-475.935;13.375
2400;2139.1;766.352;-479.927;13.375
2410;2146.1;772.212;-483.949;13.375
2420;2153.1;778.05;-487.994;13.375
2430;2160.2;783.855;-492.049;13.375
2440;2167.3;789.653;-496.117;13.375
2450;2174.3;795.451;-500.186;13.375
2460;2181.4;801.243;-504.24;13.375
2470;2188.5;807.035;-508.28;13.375
2480;2195.6;812.825;-512.324;13.375
2490;2202.6;818.608;-516.368;13.375
2500;2209.7;824.38;-520.413;13.375
2510;2216.8;830.14;-524.46;13.375
2520;2224;835.878;-528.503;13.375
2530;2231.1;841.614;-532.549;13.375
2540;2238.2;847.356;-536.609;13.375
2550;2245.3;853.093;-540.675;13.375
2560;2252.4;858.828;-544.748;13.375
2570;2259.5;864.561;-548.843;13.375
2580;2266.6;870.292;-552.954;13.375
2590;2273.7;876.021;-557.075;13.375
2600;2280.8;881.734;-561.201;13.375
2608;2286.5;886.279;-564.495;13.375
2608;2286.5;886.279;-564.495;9.625
2610;2287.9;887.415;-565.318;9.625
2620;2295;893.082;-569.431;9.625
2630;2302.2;898.769;-573.554;9.625
2640;2309.3;904.477;-577.688;9.625
2650;2316.3;910.202;-581.824;9.625
2660;2323.4;915.939;-585.968;9.625
2670;2330.5;921.677;-590.125;9.625
2680;2337.5;927.42;-594.295;9.625
2690;2344.5;933.17;-598.474;9.625
2700;2351.6;938.926;-602.673;9.625
2710;2358.5;944.696;-606.894;9.625
2720;2365.5;950.483;-611.125;9.625
2730;2372.5;956.274;-615.369;9.625
2740;2379.4;962.066;-619.627;9.625
2750;2386.4;967.87;-623.902;9.625
2760;2393.3;973.681;-628.191;9.625
2770;2400.2;979.488;-632.496;9.625
2780;2407.1;985.297;-636.823;9.625
2790;2413.9;991.132;-641.169;9.625
2800;2420.8;996.989;-645.531;9.625
2810;2427.6;1002.849;-649.906;9.625
2820;2434.4;1008.724;-654.299;9.625
2830;2441.1;1014.652;-658.722;9.625
2840;2447.7;1020.678;-663.178;9.625
2850;2454.2;1026.818;-667.684;9.625
2860;2460.6;1033.045;-672.238;9.625
2870;2466.9;1039.32;-676.807;9.625
2880;2473.2;1045.63;-681.367;9.625
2890;2479.4;1052.009;-685.925;9.625
2900;2485.5;1058.497;-690.498;9.625
2910;2491.4;1065.082;-695.093;9.625
2920;2497.3;1071.742;-699.709;9.625
2930;2503;1078.48;-704.341;9.625
2940;2508.7;1085.306;-708.997;9.625
2950;2514.2;1092.217;-713.67;9.625
2960;2519.6;1099.192;-718.357;9.625
2970;2524.9;1106.236;-723.058;9.625
2980;2530.1;1113.374;-727.77;9.625
2990;2535.1;1120.598;-732.49;9.625
3000;2540.1;1127.889;-737.203;9.625
3010;2545;1135.251;-741.909;9.625
3020;2549.7;1142.712;-746.598;9.625
3030;2554.3;1150.26;-751.273;9.625
3040;2558.8;1157.86;-755.961;9.625
3050;2563.2;1165.529;-760.655;9.625
3060;2567.4;1173.281;-765.351;9.625
3070;2571.5;1181.096;-770.062;9.625
3080;2575.5;1188.963;-774.773;9.625
3090;2579.3;1196.9;-779.479;9.625
3100;2583;1204.922;-784.191;9.625
3110;2586.5;1213.009;-788.9;9.625
3120;2589.9;1221.144;-793.607;9.625
3130;2593.2;1229.328;-798.335;9.625
3140;2596.4;1237.539;-803.094;9.625
3150;2599.5;1245.771;-807.857;9.625
3160;2602.5;1254.034;-812.614;9.625
3170;2605.4;1262.327;-817.378;9.625
3180;2608.3;1270.636;-822.149;9.625
3190;2611.1;1278.951;-826.926;9.625
3200;2613.8;1287.29;-831.719;9.625
3210;2616.4;1295.662;-836.533;9.625
3220;2618.9;1304.049;-841.367;9.625
3230;2621.3;1312.45;-846.233;9.625
3240;2623.6;1320.885;-851.115;9.625
3250;2625.7;1329.352;-855.996;9.625
3260;2627.7;1337.835;-860.878;9.625
3270;2629.7;1346.331;-865.752;9.625
3280;2631.6;1354.848;-870.637;9.625
3290;2633.4;1363.384;-875.547;9.625
3300;2635.1;1371.922;-880.477;9.625
3310;2636.7;1380.463;-885.419;9.625
3320;2638.2;1389.026;-890.365;9.625
3330;2639.5;1397.589;-895.346;9.625
3340;2640.8;1406.128;-900.385;9.625
3350;2642;1414.657;-905.467;9.625
3360;2643.1;1423.191;-910.571;9.625
3370;2644;1431.733;-915.683;9.625
3380;2644.9;1440.269;-920.811;9.625
3390;2645.7;1448.811;-925.95;9.625
3400;2646.4;1457.359;-931.092;9.625
3410;2647.2;1465.901;-936.238;9.625
3420;2648;1474.426;-941.408;9.625
3430;2648.7;1482.92;-946.634;9.625
3440;2649.4;1491.39;-951.904;9.625
3441;2649.4;1492.236;-952.433;9.625
3441;2649.4;1492.236;-952.433;8.5
3450;2650.1;1499.849;-957.192;8.5
3460;2650.7;1508.31;-962.483;8.5
3470;2651.4;1516.778;-967.762;8.5
3480;2652.1;1525.246;-973.036;8.5
3490;2652.8;1533.686;-978.352;8.5
3500;2653.5;1542.084;-983.731;8.5
3510;2654.2;1550.469;-989.135;8.5
3520;2654.9;1558.851;-994.544;8.5
3530;2655.6;1567.226;-999.958;8.5
3540;2656.3;1575.596;-1005.386;8.5
3550;2657;1583.961;-1010.825;8.5
3560;2657.7;1592.32;-1016.269;8.5
3570;2658.4;1600.674;-1021.719;8.5
3580;2659.1;1609.024;-1027.179;8.5
3590;2659.8;1617.369;-1032.649;8.5
3600;2660.4;1625.712;-1038.12;8.5
3610;2661.1;1634.055;-1043.591;8.5
3620;2661.8;1642.407;-1049.047;8.5
3630;2662.5;1650.769;-1054.49;8.5
3640;2663.2;1659.135;-1059.925;8.5
3650;2663.9;1667.505;-1065.353;8.5
3660;2664.5;1675.885;-1070.769;8.5
3670;2665.2;1684.283;-1076.153;8.5
3680;2666;1692.723;-1081.468;8.5
3690;2666.7;1701.217;-1086.696;8.5
3700;2667.3;1709.76;-1091.849;8.5
3710;2668;1718.351;-1096.924;8.5
3720;2668.7;1727.008;-1101.884;8.5
3730;2669.3;1735.728;-1106.741;8.5
3740;2669.9;1744.477;-1111.545;8.5
3750;2670.6;1753.238;-1116.319;8.5
3760;2671.3;1761.996;-1121.087;8.5
3770;2672.1;1770.735;-1125.89;8.5
3780;2672.8;1779.433;-1130.772;8.5
3790;2673.5;1788.084;-1135.732;8.5
3800;2674.3;1796.713;-1140.729;8.5
3810;2675;1805.332;-1145.746;8.5
3820;2675.8;1813.934;-1150.788;8.5
3830;2676.6;1822.505;-1155.876;8.5
3840;2677.4;1831.017;-1161.062;8.5
3850;2678.2;1839.463;-1166.362;8.5
3860;2678.9;1847.858;-1171.739;8.5
3870;2679.7;1856.219;-1177.164;8.5
3880;2680.5;1864.549;-1182.644;8.5
3890;2681.2;1872.861;-1188.157;8.5
3900;2681.9;1881.168;-1193.678;8.5
3910;2682.7;1889.466;-1199.212;8.5
3920;2683.4;1897.75;-1204.768;8.5
3930;2684.1;1906.025;-1210.335;8.5
3940;2684.9;1914.291;-1215.913;8.5
3950;2685.6;1922.541;-1221.514;8.5
3960;2686.4;1930.774;-1227.141;8.5
3970;2687.1;1938.99;-1232.789;8.5
3980;2687.9;1947.178;-1238.471;8.5
3990;2688.7;1955.338;-1244.2;8.5
4000;2689.4;1963.477;-1249.968;8.5
4010;2690.1;1971.608;-1255.744;8.5
4020;2690.9;1979.737;-1261.515;8.5
4030;2691.7;1987.856;-1267.301;8.5
4040;2692.5;1995.953;-1273.118;8.5
4050;2693.3;2004.004;-1278.993;8.5
4060;2694.1;2011.999;-1284.947;8.5
4070;2694.8;2019.949;-1290.97;8.5
4080;2695.4;2027.901;-1297.002;8.5
4090;2696;2035.979;-1302.863;8.5
4100;2696.7;2044.254;-1308.442;8.5
4110;2697.3;2052.698;-1313.763;8.5
4120;2697.9;2061.307;-1318.809;8.5
4130;2698.6;2070.083;-1323.556;8.5
4140;2699.2;2079.006;-1328.022;8.5
4150;2699.9;2088.055;-1332.229;8.5
4160;2700.5;2097.198;-1336.223;8.5
4170;2701.3;2106.367;-1340.141;8.5
4180;2702.1;2115.506;-1344.119;8.5
4190;2702.9;2124.58;-1348.241;8.5
4200;2703.7;2133.551;-1352.584;8.5
4210;2704.5;2142.393;-1357.193;8.5
4220;2705.2;2151.124;-1362.016;8.5
4230;2705.9;2159.795;-1366.946;8.5
4240;2706.7;2168.404;-1371.979;8.5
4250;2707.4;2176.905;-1377.191;8.5
4260;2708.2;2185.274;-1382.61;8.5
4270;2709;2193.511;-1388.224;8.5
4280;2709.8;2201.611;-1394.032;8.5
4290;2710.5;2209.581;-1400.024;8.5
4300;2711.3;2217.442;-1406.164;8.5
4310;2712;2225.225;-1412.399;8.5
4320;2712.7;2232.93;-1418.733;8.5
4330;2713.4;2240.554;-1425.169;8.5
4340;2714;2248.145;-1431.647;8.5
4350;2714.7;2255.724;-1438.134;8.5
4360;2715.4;2263.296;-1444.626;8.5
4370;2716.1;2270.87;-1451.121;8.5
4380;2716.8;2278.442;-1457.617;8.5
4390;2717.5;2286.017;-1464.106;8.5
4400;2718.2;2293.602;-1470.582;8.5
4410;2718.9;2301.189;-1477.057;8.5
4420;2719.6;2308.766;-1483.546;8.5
4430;2720.3;2316.337;-1490.04;8.5
4440;2721;2323.919;-1496.524;8.5
4450;2721.7;2331.505;-1503.004;8.5
4460;2722.4;2339.081;-1509.495;8.5
4470;2723.1;2346.651;-1515.993;8.5
4480;2723.8;2354.22;-1522.493;8.5
4490;2724.4;2361.779;-1529.008;8.5
4500;2725;2369.321;-1535.548;8.5
4510;2725.6;2376.861;-1542.093;8.5
4520;2726;2384.4;-1548.644;8.5
4530;2726.4;2391.932;-1555.21;8.5
4540;2726.8;2399.466;-1561.777;8.5
4550;2727.1;2407.009;-1568.334;8.5
4560;2727.6;2414.578;-1574.853;8.5
4570;2728.2;2422.193;-1581.303;8.5
4580;2728.9;2429.827;-1587.721;8.5
4590;2729.7;2437.447;-1594.156;8.5
4600;2730.4;2445.045;-1600.618;8.5
4610;2731.1;2452.62;-1607.104;8.5
4620;2731.9;2460.178;-1613.611;8.5
4630;2732.5;2467.72;-1620.141;8.5
4640;2733.3;2475.247;-1626.686;8.5
4650;2734;2482.76;-1633.242;8.5
4660;2734.8;2490.26;-1639.814;8.5
4670;2735.5;2497.755;-1646.395;8.5
4680;2736.2;2505.251;-1652.969;8.5
4690;2737.1;2512.749;-1659.535;8.5
4700;2737.9;2520.249;-1666.092;8.5
4710;2738.9;2527.762;-1672.615;8.5
4720;2740.1;2535.303;-1679.086;8.5
4730;2741.3;2542.868;-1685.513;8.5
4740;2742.5;2550.444;-1691.919;8.5
4750;2743.8;2558.03;-1698.308;8.5
4760;2745.1;2565.63;-1704.67;8.5
4764.1;2745.7;2568.743;-1707.265;8.5
4777.6;2747.7;2579.001;-1715.874;8.5
4818;2755.3;2609.406;-1741.231;8.5
4858.4;2765.4;2639.681;-1766.104;8.5
4894.4;2776.8;2666.038;-1787.666;8.5
4936.1;2793.2;2695.773;-1811.925;8.5
4977.6;2813.1;2723.649;-1835.278;8.5
5017.9;2835.3;2749.089;-1857.392;8.5
5058.3;2858.7;2773.696;-1879.208;8.5
5098.6;2882.1;2798.13;-1901.097;8.5
5139;2905.5;2822.502;-1923.192;8.5
5179.3;2928.9;2846.965;-1945.163;8.5
5219.4;2952.2;2871.656;-1966.597;8.5
5259.7;2975.6;2896.419;-1988.032;8.5
5300.1;2999.1;2921.303;-2009.396;8.5
5331;3017;2940.582;-2025.648;8.5
