MD (m RKB);TVD (m RKB);E/W (m);N/S (m);Section (in)
1880;1785.2;-422.218;-15.997;14
1890;1794.6;-425.692;-16.56;14
1900;1804;-429.062;-17.081;14
1910;1813.4;-432.338;-17.566;14
1920;1822.9;-435.494;-18.012;14
1930;1832.4;-438.513;-18.422;14
1940;1842;-441.403;-18.796;14
1950;1851.6;-444.155;-19.126;14
1960;1861.2;-446.746;-19.392;14
1970;1870.9;-449.184;-19.6;14
1980;1880.7;-451.501;-19.778;14
1990;1890.4;-453.679;-19.935;14
2000;1900.2;-455.669;-20.067;14
2010;1910.1;-457.483;-20.164;14
2020;1919.9;-459.161;-20.216;14
2030;1929.8;-460.704;-20.217;14
2040;1939.7;-462.094;-20.164;14
2050;1949.6;-463.343;-20.071;14
2060;1959.6;-464.481;-19.946;14
2070;1969.5;-465.505;-19.768;14
2080;1979.5;-466.421;-19.521;14
2090;1989.4;-467.238;-19.219;14
2100;1999.4;-467.944;-18.885;14
2110;2009.4;-468.503;-18.54;14
2120;2019.3;-468.909;-18.178;14
2130;2029.3;-469.204;-17.783;14
2140;2039.3;-469.412;-17.333;14
2150;2049.3;-469.517;-16.796;14
2160;2059.3;-469.494;-16.161;14
2170;2069.3;-469.342;-15.456;14
2180;2079.2;-469.057;-14.709;14
2190;2089.2;-468.619;-13.932;14
2200;2099.1;-468.036;-13.128;14
2210;2109.1;-467.326;-12.297;14
2220;2119;-466.481;-11.437;14
2230;2128.9;-465.459;-10.553;14
2240;2138.8;-464.237;-9.648;14
2250;2148.7;-462.836;-8.716;14
2260;2158.5;-461.261;-7.759;14
2270;2168.3;-459.509;-6.781;14
2280;2178;-457.603;-5.791;14
2290;2187.8;-455.579;-4.797;14
2300;2197.5;-453.448;-3.802;14
2310;2207.2;-451.196;-2.786;14
2320;2216.9;-448.818;-1.731;14
2330;2226.5;-446.322;-0.632;14
2340;2236.1;-443.711;0.509;14
2350;2245.6;-440.975;1.685;14
2360;2255.1;-438.102;2.895;14
2370;2264.6;-435.084;4.143;14
2380;2274;-431.918;5.427;14
2390;2283.3;-428.614;6.747;14
2400;2292.6;-425.195;8.105;14
2410;2301.9;-421.672;9.497;14
2420;2311.1;-418.03;10.923;14
2430;2320.2;-414.257;12.395;14
2440;2329.3;-410.345;13.925;14
2450;2338.3;-406.3;15.531;14
2460;2347.2;-402.127;17.221;14
2470;2356.1;-397.827;18.998;14
2480;2364.8;-393.404;20.851;14
2490;2373.5;-388.853;22.763;14
2500;2382.1;-384.167;24.731;14
2510;2390.7;-379.371;26.741;14
2520;2399.2;-374.493;28.771;14
2530;2407.6;-369.53;30.832;14
2540;2416;-364.428;32.924;14
2550;2424.2;-359.142;35.043;14
2560;2432.3;-353.701;37.19;14
2570;2440.3;-348.149;39.357;14
2571;2441.1;-347.583;39.574;14
2571;2441.1;-347.583;39.574;8.5
2580;2448.3;-342.493;41.527;8.5
2590;2456.2;-336.832;43.858;8.5
2600;2464.1;-331.297;46.428;8.5
2610;2472.1;-325.922;49.132;8.5
2620;2480.1;-320.714;51.964;8.5
2630;2488.2;-315.669;54.941;8.5
2640;2496.4;-310.771;58.041;8.5
2650;2504.5;-305.939;61.237;8.5
2660;2512.6;-301.063;64.538;8.5
2670;2520.6;-296.092;67.954;8.5
2680;2528.4;-291.015;71.5;8.5
2690;2536.2;-285.843;75.182;8.5
2700;2543.8;-280.569;79.003;8.5
2710;2551.2;-275.186;82.956;8.5
2720;2558.5;-269.711;87.023;8.5
2730;2565.7;-264.159;91.188;8.5
2740;2572.8;-258.528;95.446;8.5
2750;2579.8;-252.805;99.8;8.5
2760;2586.6;-247.015;104.246;8.5
2770;2593.3;-241.177;108.784;8.5
2780;2599.9;-235.266;113.427;8.5
2790;2606.3;-229.275;118.191;8.5
2800;2612.7;-223.232;123.06;8.5
2810;2618.8;-217.136;128.01;8.5
2820;2624.9;-210.991;133.017;8.5
2830;2631;-204.831;138.08;8.5
2840;2637;-198.666;143.204;8.5
2850;2642.9;-192.502;148.374;8.5
2860;2648.8;-186.338;153.604;8.5
2870;2654.6;-180.154;158.931;8.5
2880;2660.2;-173.948;164.388;8.5
2890;2665.6;-167.695;169.987;8.5
2900;2670.8;-161.371;175.729;8.5
2910;2675.8;-154.989;181.599;8.5
2920;2680.6;-148.563;187.571;8.5
2930;2685.2;-142.104;193.638;8.5
2940;2689.7;-135.601;199.816;8.5
2950;2693.8;-129.05;206.11;8.5
2960;2697.8;-122.466;212.488;8.5
2970;2701.7;-115.842;218.923;8.5
2980;2705.3;-109.183;225.456;8.5
2990;2708.6;-102.524;232.11;8.5
3000;2711.8;-95.88;238.866;8.5
3010;2714.9;-89.255;245.72;8.5
3020;2717.7;-82.657;252.69;8.5
3030;2720.3;-76.094;259.764;8.5
3040;2722.9;-69.572;266.894;8.5
3050;2725.4;-63.112;274.081;8.5
3060;2728;-56.726;281.339;8.5
3070;2730.6;-50.41;288.656;8.5
3080;2733.2;-44.155;296.013;8.5
3090;2735.8;-37.933;303.392;8.5
3100;2738.4;-31.697;310.766;8.5
3110;2741;-25.434;318.12;8.5
3120;2743.5;-19.162;325.468;8.5
3130;2746.1;-12.874;332.806;8.5
3140;2748.6;-6.567;340.137;8.5
3144;2749.7;-4.042;343.069;8.5
3168.1;2755.8;11.212;360.672;8.5
3208.4;2767.3;36.796;389.639;8.5
3248.8;2781.2;62.022;417.954;8.5
3288.7;2797.7;85.892;445.296;8.5
3329.4;2817.8;108.926;472.154;8.5
3369.9;2840.8;130.601;497.491;8.5
3410.2;2865.8;150.643;521.858;8.5
3450.3;2892.2;169.2;545.713;8.5
3490.7;2920;187.256;568.739;8.5
3531.1;2949.7;204.34;590.16;8.5
3571.7;2980.7;220.717;610.698;8.5
3611.1;3010.8;236.698;630.338;8.5
3652.3;3042.4;253.462;650.849;8.5
3692.3;3073.1;269.493;670.923;8.5
3732.8;3104.1;285.558;691.346;8.5
3749.1;3116.6;292.051;699.557;8.5
3762;3126.5;297.209;706.046;8.5
