MD (m RKB);TVD (m RKB);E/W (m);N/S (m);Section (in)
145.9;145.9;1.114;-1.956;30
218.5;218.5;1.065;-2.113;30
221;221;1.06;-2.119;30
221;221;1.06;-2.119;13.375
259;259;0.977;-2.217;13.375
299.5;299.5;0.807;-2.293;13.375
340;340;0.788;-2.226;13.375
394.3;394.3;0.862;-1.896;13.375
420.4;420.4;0.83;-1.74;13.375
422;422;0.81;-1.797;13.375
422;422;0.81;-1.797;9.625
454.9;454.9;0.39;-2.971;9.625
497.7;497.4;-1.254;-7.759;9.625
537.6;536.4;-3.409;-15.388;9.625
565.7;563.5;-4.669;-22.898;9.625
604.9;600.4;-5.766;-36.079;9.625
686.3;673.9;-7.404;-70.756;9.625
727;709.3;-8.325;-90.838;9.625
767.7;743.8;-9.955;-112.392;9.625
807.8;776.3;-12.62;-135.73;9.625
848;807.3;-16.492;-160.989;9.625
888;836.1;-21.077;-188.354;9.625
928.4;862.9;-25.905;-218.191;9.625
968.1;887.2;-31.314;-249.142;9.625
996;902.5;-35.691;-272.006;9.625
996;902.5;-35.691;-272.006;6.625
1059.4;937.4;-45.653;-324.05;6.625
1140.7;979.2;-58.882;-392.421;6.625
1181;1000;-65.289;-426.379;6.625
1201;1010.4;-68.418;-443.177;6.625
