MD (m RKB);TVD (m RKB);E/W (m);N/S (m);Section (in)
145.9;145.9;-3.534;3.165;30
150.2;150.2;-3.534;3.165;30
160.5;160.5;-3.534;3.165;30
170;170;-3.534;3.165;30
179.8;179.8;-3.534;3.165;30
189.7;189.7;-3.534;3.165;30
198.5;198.5;-3.534;3.165;30
210.7;210.7;-3.534;3.165;30
221;221;-3.674;3.253;30
221;221;-3.674;3.253;20
237.6;237.6;-3.899;3.396;20
251.1;251.1;-4.268;3.639;20
264.9;264.9;-4.698;3.944;20
279.2;279.2;-5.153;4.277;20
292.7;292.7;-5.522;4.54;20
302.8;302.8;-5.702;4.716;20
315.5;315.5;-5.834;4.965;20
332.2;332.1;-6.177;5.392;20
342.2;342.1;-6.535;5.663;20
358.5;358.4;-7.305;6.052;20
378;377.9;-8.279;6.522;20
414.8;414.6;-10.115;7.419;20
455.4;455.2;-12.188;8.307;20
495.4;495.1;-14.105;9.066;20
535.6;535.3;-15.932;9.794;20
575.8;575.4;-17.852;10.489;20
616.5;616;-20.052;11.631;20
656.8;656.2;-22.647;14.04;20
697.1;696.2;-25.761;17.991;20
720;718.8;-27.872;20.838;20
737.4;735.9;-29.776;23.237;20
756.8;755;-32.036;25.978;20
798.9;796.4;-36.764;31.681;20
838.3;835.2;-41.312;36.748;20
868;864.4;-45.33;40.439;20
878.2;874.4;-46.849;41.716;20
918;913.5;-52.391;46.887;20
999;993.3;-61.666;57.056;20
1079.8;1073.1;-69.75;66.728;20
1120.4;1113.1;-74.762;71.881;20
1160.8;1152.7;-81.006;77.09;20
1201;1192;-87.499;82.103;20
1241.4;1231.5;-94.1;87.368;20
1281.8;1271;-100.715;92.819;20
1322.4;1310.8;-106.899;97.993;20
1335.6;1323.8;-108.749;99.535;20
1348;1336;-110.01;100.945;20
1348;1336;-110.01;100.945;13.375
1387.1;1374.7;-113.987;105.39;13.375
1428;1415;-116.269;111.353;13.375
1468.3;1454.6;-116.701;119.13;13.375
1508.7;1494;-114.404;127.762;13.375
1551.3;1535.2;-109.641;137.326;13.375
1589.1;1571.4;-104.009;146.569;13.375
1629.5;1609.6;-96.805;157.588;13.375
1663.4;1641.1;-89.807;168.081;13.375
1710.4;1683.6;-78.755;184.623;13.375
1750.3;1718.9;-67.967;199.936;13.375
1790.4;1753.7;-56.158;215.898;13.375
1831.1;1788.9;-44.023;232.249;13.375
1871.1;1823.6;-32.057;248.309;13.375
1911.6;1858.7;-20.151;264.646;13.375
1952.2;1893.9;-8.542;281.164;13.375
1992.8;1929.1;3.056;297.712;13.375
2027.3;1959;12.967;311.77;13.375
2066.3;1992.8;24.11;327.704;13.375
2113.7;2033.9;37.731;346.975;13.375
2154.7;2069.5;49.5;363.627;13.375
2194.3;2103.8;61.049;379.591;13.375
2234.7;2138.9;73.311;395.5;13.375
2275.1;2173.9;85.658;411.41;13.375
2305.9;2200.6;94.81;423.784;13.375
2396.5;2279.1;121.111;460.684;13.375
2436.7;2313.8;132.819;477.116;13.375
2470.8;2343.3;142.954;490.956;13.375
2517.2;2383.4;156.922;509.686;13.375
2557.9;2418.6;168.861;526.33;13.375
2587;2443.7;177.018;538.477;13.375
2595;2450.6;178.97;541.968;13.375
2595;2450.6;178.97;541.968;8.5
2621.1;2473.2;185.337;553.358;8.5
2647.4;2496.2;190.183;565.252;8.5
2688.1;2532.2;195.125;583.602;8.5
2727.5;2567.3;197.358;601.337;8.5
2768.6;2603.9;196.849;619.843;8.5
2809.1;2639.9;193.19;638.112;8.5
2849.4;2675.1;186.02;656.325;8.5
2889.6;2709.5;174.897;673.823;8.5
2930.4;2743.6;160.123;690.742;8.5
2970.7;2775.9;142.649;707.191;8.5
3010.9;2806.6;122.23;723.312;8.5
3051;2835.6;99.008;738.371;8.5
3091.4;2863.3;73.101;752.197;8.5
3130.5;2888;45.665;765.045;8.5
3171.2;2911.1;14.514;777.413;8.5
3212.1;2931.6;-19.219;787.894;8.5
3251.6;2949.8;-53.337;795.977;8.5
3292;2969.5;-87.894;802.899;8.5
3333.1;2992.7;-121.074;809.99;8.5
3373.4;3018.6;-150.849;817.982;8.5
3413.8;3046.9;-178.56;826.047;8.5
3454.1;3075.9;-205.657;832.951;8.5
3494.3;3104.9;-232.756;839.359;8.5
3534.6;3133.8;-260.076;845.709;8.5
3574.3;3162.3;-286.973;852.052;8.5
3615.2;3191.7;-314.614;858.819;8.5
3655.4;3220.6;-341.673;865.849;8.5
3671.1;3231.9;-352.208;868.721;8.5
3682;3239.7;-359.513;870.739;8.5
