MD (m RKB);TVD (m RKB);E/W (m);N/S (m);Section (in)
145.9;145.9;0.925;-4.655;30
146;146;0.925;-4.655;30
154.9;154.9;0.916;-4.664;30
195.3;195.3;0.977;-4.721;30
221;221;1.138;-4.626;30
221;221;1.138;-4.626;13.375
235.6;235.6;1.23;-4.572;13.375
276;276;1.311;-4.935;13.375
316.4;316.4;1.26;-6.241;13.375
356.7;356.6;1.452;-8.452;13.375
397.1;396.8;2;-12.557;13.375
437.5;436.8;2.441;-18.428;13.375
477.8;476.5;2.498;-25.325;13.375
518.2;516.1;2.687;-33.005;13.375
558.5;555.6;3.678;-40.907;13.375
598.9;595.2;5.887;-48.953;13.375
639.3;634.5;9.511;-57.236;13.375
679.6;673.7;14.635;-65.447;13.375
720;712.7;21.198;-73.538;13.375
760.4;751.3;29.847;-81.591;13.375
800.7;789.2;41.143;-89.524;13.375
841.1;826.4;54.735;-97.193;13.375
881.5;862.9;70.347;-104.621;13.375
921.8;899.1;86.348;-112.222;13.375
962.2;936.1;100.809;-119.881;13.375
1002.6;973.7;113.362;-127.271;13.375
1043;1012;124.18;-134.159;13.375
1083.3;1050.8;133.554;-140.242;13.375
1123.7;1089.5;143.319;-146.076;13.375
1164.1;1127.5;155.554;-152.098;13.375
1204.4;1164.4;170.718;-158.207;13.375
1244.8;1200.1;188.55;-164.401;13.375
1285.2;1234.9;207.821;-171.07;13.375
1325.6;1270;226.572;-178.269;13.375
1365.9;1305.9;243.38;-185.559;13.375
1405;1340.5;259.877;-193.17;13.375
1405;1340.5;259.877;-193.17;9.625
1406.3;1341.6;260.425;-193.423;9.625
1446.6;1376.4;279.077;-201.808;9.625
1487;1410.8;298.452;-210.191;9.625
1527.3;1445;318.064;-218.523;9.625
1567.7;1479.2;338.083;-226.593;9.625
1608;1512.9;358.894;-233.874;9.625
1648.4;1546.4;380.486;-240.442;9.625
1688.8;1579.7;402.684;-246.242;9.625
1729.1;1612.5;425.515;-251.199;9.625
1769.5;1645.2;448.655;-256.272;9.625
1809.8;1677.9;471.598;-262.022;9.625
1850.2;1710.6;494.418;-268.354;9.625
1890.6;1743.3;516.974;-275.644;9.625
1930.9;1775.7;539.383;-284.028;9.625
1971.3;1808.2;561.582;-293.193;9.625
2011.7;1840.9;583.361;-302.699;9.625
2052;1873.7;604.672;-312.216;9.625
2092.4;1907.1;625.458;-321.338;9.625
2132.7;1941;645.741;-329.523;9.625
2173;1975;666.164;-336.791;9.625
2213.4;2008.9;687.24;-342.869;9.625
2253.7;2042.7;708.672;-347.711;9.625
2294.1;2076.5;730.382;-351.592;9.625
2334.4;2110.3;752.252;-354.317;9.625
2374.8;2144;774.4;-356.133;9.625
2415.2;2177.7;796.636;-357.485;9.625
2455.6;2211.4;818.848;-358.449;9.625
2496;2245.3;840.821;-359.205;9.625
2536.3;2279.4;862.322;-359.657;9.625
2576.7;2313.8;883.535;-359.19;9.625
2617.1;2348.3;904.495;-357.669;9.625
2657.4;2382.7;925.298;-355.591;9.625
2697.8;2417.2;946.235;-353.73;9.625
2738.2;2451.8;967.102;-351.965;9.625
2775.5;2483.8;986.075;-349.571;9.625
2789.4;2495.8;993.091;-348.454;9.625
2829.6;2530.3;1013.295;-344.794;9.625
2866.9;2562.3;1032.029;-340.845;9.625
2904.4;2594.5;1050.898;-336.576;9.625
2913.3;2602.1;1055.43;-335.518;9.625
2921;2608.6;1059.407;-334.569;9.625
2921;2608.6;1059.407;-334.569;7
2927.7;2614.2;1062.856;-333.745;7
2954.6;2636.7;1077;-329.685;7
2995.2;2669.9;1098.443;-320.305;7
3036.4;2703;1119.318;-307.369;7
3076.7;2735.1;1138.414;-292.252;7
3117.2;2767.2;1156.075;-275.189;7
3157.5;2799.7;1171.201;-256.69;7
3197;2832.1;1183.168;-237.47;7
3236.9;2865.6;1192.384;-217.944;7
3253.8;2880.1;1195.386;-209.795;7
3278.3;2901.5;1199.06;-198.379;7
3319;2936.9;1205.785;-179.48;7
3359.2;2970.6;1215.043;-159.701;7
3398.5;3001.7;1226.785;-138.792;7
3439.6;3031.9;1241.169;-115.012;7
3479.3;3059.4;1255.441;-90.049;7
3520.4;3086.1;1269.633;-62.38;7
3559.9;3110.3;1282.658;-33.958;7
3601.7;3134.7;1295.771;-2.646;7
3642.1;3158;1308.263;27.919;7
3682.4;3181.1;1320.75;58.525;7
3722.9;3204.7;1333.13;88.95;7
3761.8;3228.1;1344.795;117.765;7
3790;3245.2;1353.219;138.572;7
