MD (m RKB);TVD (m RKB);E/W (m);N/S (m);Section (in)
145.9;145.9;1.114;-1.956;30
218.5;218.5;1.065;-2.113;30
221;221;1.06;-2.119;30
221;221;1.06;-2.119;13.375
259;259;0.977;-2.217;13.375
299.5;299.5;0.807;-2.293;13.375
340;340;0.788;-2.226;13.375
394.3;394.3;0.862;-1.896;13.375
420.4;420.4;0.83;-1.74;13.375
460.6;460.6;0.885;-1.517;13.375
500.8;500.8;1.03;-1.319;13.375
540.9;540.9;2.098;-1.42;13.375
580.4;580.3;4.386;-1.876;13.375
620.8;620.6;7.645;-2.623;13.375
661.5;661;12.108;-3.064;13.375
701.8;700.9;17.641;-2.675;13.375
742.2;740.7;24.742;-1.781;13.375
782.6;780.3;32.645;-0.5;13.375
823;819.9;40.329;1.376;13.375
863.3;859.4;47.928;4.015;13.375
902.6;898;54.899;6.398;13.375
910;905.3;56.111;6.73;13.375
910;905.3;56.111;6.73;9.625
968;962.5;65.611;9.334;9.625
1008.5;1002.4;72.046;11.035;9.625
1048.9;1042.2;78.51;12.671;9.625
1064;1057.1;80.964;13.277;9.625
