MD (m RKB);TVD (m RKB);E/W (m);N/S (m);Section (in)
145.9;145.9;-3.534;3.165;30
150.2;150.2;-3.534;3.165;30
160.5;160.5;-3.534;3.165;30
170;170;-3.534;3.165;30
179.8;179.8;-3.534;3.165;30
189.7;189.7;-3.534;3.165;30
198.5;198.5;-3.534;3.165;30
210.7;210.7;-3.534;3.165;30
221;221;-3.674;3.253;30
221;221;-3.674;3.253;20
237.6;237.6;-3.899;3.396;20
251.1;251.1;-4.268;3.639;20
264.9;264.9;-4.698;3.944;20
279.2;279.2;-5.153;4.277;20
292.7;292.7;-5.522;4.54;20
302.8;302.8;-5.702;4.716;20
315.5;315.5;-5.834;4.965;20
332.2;332.1;-6.177;5.392;20
342.2;342.1;-6.535;5.663;20
358.5;358.4;-7.305;6.052;20
378;377.9;-8.279;6.522;20
414.8;414.6;-10.115;7.419;20
455.4;455.2;-12.188;8.307;20
495.4;495.1;-14.105;9.066;20
535.6;535.3;-15.932;9.794;20
575.8;575.4;-17.852;10.489;20
616.5;616;-20.052;11.631;20
656.8;656.2;-22.647;14.04;20
697.1;696.2;-25.761;17.991;20
720;718.8;-27.872;20.838;20
737.4;735.9;-29.776;23.237;20
756.8;755;-32.036;25.978;20
798.9;796.4;-36.764;31.681;20
838.3;835.2;-41.312;36.748;20
868;864.4;-45.33;40.439;20
878.2;874.4;-46.849;41.716;20
918;913.5;-52.391;46.887;20
999;993.3;-61.666;57.056;20
1079.8;1073.1;-69.75;66.728;20
1120.4;1113.1;-74.762;71.881;20
1160.8;1152.7;-81.006;77.09;20
1201;1192;-87.499;82.103;20
1241.4;1231.5;-94.1;87.368;20
1281.8;1271;-100.715;92.819;20
1322.4;1310.8;-106.899;97.993;20
1335.6;1323.8;-108.749;99.535;20
1348;1336;-110.492;100.609;20
1348;1336;-110.492;100.609;13.375
1388.7;1376.1;-116.212;104.136;13.375
1468;1453.5;-132.872;107.195;13.375
1509.1;1492.9;-144.562;107.777;13.375
1547.4;1529.5;-155.761;107.15;13.375
1588.8;1569;-167.831;103.998;13.375
1627.2;1605.4;-179.135;99.046;13.375
1669.4;1645;-191.558;91.492;13.375
1710.1;1683;-203.236;82.794;13.375
1751.3;1721.5;-214.894;73.761;13.375
1791;1758.5;-226.066;64.958;13.375
1833.5;1798.2;-237.767;55.174;13.375
1873.2;1835.3;-248.649;45.985;13.375
1913.9;1873.3;-260.036;36.883;13.375
1952.5;1909.3;-271.162;28.664;13.375
2032.9;1984.2;-294.589;11.228;13.375
2073.6;2022;-306.37;1.972;13.375
2115.3;2060.9;-318.285;-7.381;13.375
2155.1;2098.4;-328.842;-15.348;13.375
2195.5;2137.2;-338.144;-21.886;13.375
2235;2175.6;-345.761;-26.664;13.375
2275.5;2215.6;-351.843;-29.621;13.375
2316.1;2255.9;-356.25;-30.728;13.375
2356.1;2295.8;-359.153;-30.01;13.375
2397.1;2336.7;-360.206;-27.467;13.375
2437.6;2376.9;-359.174;-23.297;13.375
2477.8;2416.6;-356.396;-17.233;13.375
2501.1;2439.3;-354.041;-12.826;13.375
2508;2446;-353.105;-11.298;13.375
2508;2446;-353.105;-11.298;9.625
2548.1;2484.7;-347.668;-2.421;9.625
2588.8;2523.2;-340.246;8.367;9.625
2629.1;2560.5;-331.322;20.763;9.625
2668.7;2596.2;-321.198;34.55;9.625
2710.3;2632.6;-309.152;50.718;9.625
2750.7;2666.8;-296.225;67.907;9.625
2790.8;2699.4;-282.119;86.472;9.625
2830.9;2730.4;-266.634;106.703;9.625
2870.8;2759.6;-249.962;128.193;9.625
2911.1;2787.4;-231.781;151.011;9.625
2951.3;2813.4;-212.398;174.776;9.625
2991.7;2837.9;-192.012;199.582;9.625
3032.1;2860.5;-170.59;225.267;9.625
3047;2868.1;-162.294;235.03;9.625
3047;2868.1;-162.294;235.03;7
3071.3;2880.5;-148.763;250.952;7
3100.8;2894.4;-131.876;270.756;7
3141.1;2911.6;-108.259;298.532;7
3181.8;2926.3;-83.678;327.414;7
3221.7;2937.8;-58.75;356.366;7
3262;2946.3;-33.035;386.174;7
3302.2;2952.7;-7.273;416.364;7
3342.4;2957.5;18.406;446.914;7
3382.9;2962;44.204;477.818;7
3423.4;2967.2;69.844;508.728;7
3464.2;2974.2;95.543;539.618;7
3504;2982.5;120.651;569.356;7
3544.4;2991.4;146.18;599.385;7
3585.2;3001.6;172.017;629.283;7
3625.5;3014.1;197.166;658.145;7
3666;3029.4;221.891;686.314;7
3706.6;3045.5;247.103;713.774;7
3745.9;3059.6;273.047;739.686;7
3786.5;3073;301.172;765.743;7
3826.8;3086.1;330.046;790.622;7
3866.8;3099.6;359.486;814.098;7
3907.4;3113.9;389.716;837.085;7
3947.8;3128.3;420.403;859.043;7
3987.9;3142.7;451.454;879.995;7
4028;3156.9;482.76;900.579;7
4069.2;3171.6;515.169;921.353;7
4079.2;3175.2;523.068;926.342;7
4087;3178;529.225;930.239;7
