TVD (m);Pore pressure (s.g.);Fracture pressure (s.g.)
286.2;0.816;1.342
314.9;0.835;1.398
348.1;0.854;1.445
381.9;0.869;1.473
426.2;0.885;1.492
466.2;0.899;1.51
500.4;0.909;1.526
542;0.916;1.542
587.9;0.923;1.556
632.9;0.931;1.573
677.4;0.937;1.585
715.7;0.941;1.597
749.2;0.947;1.606
795.1;0.95;1.619
844.2;0.956;1.629
884.4;0.959;1.638
927.2;0.963;1.648
979;0.967;1.659
1027.3;0.971;1.67
1083.4;0.974;1.68
1138.3;0.977;1.685
1190.8;0.976;1.694
1227.1;0.977;1.701
1261.2;0.979;1.707
1305.3;0.981;1.714
1360.6;0.983;1.719
1395.8;0.987;1.725
1433.4;0.987;1.73
1482.1;0.987;1.735
1534.2;0.986;1.741
1559.2;0.988;1.738
1599.2;0.991;1.74
1629.7;0.992;1.738
1664.9;0.991;1.738
1700.1;0.991;1.74
1756.1;0.99;1.736
1819;0.994;1.735
1866;0.997;1.734
1903.4;0.996;1.734
1936.4;0.996;1.734
1973.2;0.996;1.734
2015.2;0.995;1.733
2064.7;0.995;1.742
2103.8;0.997;1.744
2146.1;0.994;1.75
2190.5;1.002;1.756
2237.2;1.001;1.763
2286.5;1;1.772
2292.3;1;1.717
2318.5;1;1.707
2324.5;1;1.607
2346.7;1;1.605
2351.9;1;1.773
2404.9;1;1.781
2445;0.999;1.786
2496.5;1;1.784
2504;0.911;1.72
2545.9;0.868;1.722
2582.7;0.866;1.727
2627;0.882;1.732
2630.3;0.955;1.799
2683;1.022;1.821
2720.5;1.029;1.826
2763.4;1.036;1.835
2809.4;1.057;1.855
2838.9;1.165;1.901
2850.9;1.241;1.95
2900.2;1.241;1.968
2955.2;1.24;1.971
2979.5;1.127;1.885
3000.1;1.093;1.882
3003.7;1.113;1.903
3050.3;1.127;1.904
