TVD (m);Pore pressure (s.g.);Fracture pressure (s.g.)
227.9;0.803;1.361
313.2;0.859;1.442
375.8;0.884;1.486
406.1;0.893;1.502
438;0.903;1.516
472.9;0.911;1.531
505.9;0.918;1.544
536.6;0.925;1.554
568.2;0.93;1.565
600.7;0.935;1.576
633.1;0.94;1.584
669;0.943;1.594
705.3;0.947;1.604
740.4;0.951;1.614
774.9;0.955;1.622
812.5;0.958;1.632
845.9;0.961;1.638
879.8;0.964;1.645
921.8;0.967;1.653
965.3;0.969;1.66
1005.7;0.97;1.667
1051.4;0.974;1.673
1102.9;0.978;1.683
1144.4;0.979;1.691
1181.2;0.98;1.698
1217.4;0.981;1.703
1255.7;0.982;1.709
1294.7;0.983;1.714
1335.4;0.985;1.719
1375.5;0.987;1.725
1414.9;0.986;1.729
1446.9;0.989;1.733
1492;0.989;1.738
1517.3;0.99;1.736
1557.6;0.992;1.737
1598.9;0.993;1.737
1630;0.993;1.737
1662;0.994;1.737
1693.8;0.994;1.737
1722.3;0.993;1.737
1741.5;0.994;1.733
1787.8;0.996;1.736
1851.6;0.996;1.734
1893.7;0.998;1.733
1925.9;0.998;1.733
1956.7;1;1.733
1989.4;1.001;1.733
2020.2;1;1.733
2054.1;1;1.737
2086;1;1.741
2123.3;1;1.745
2165.2;1;1.747
2204.1;1;1.752
2257.4;1.004;1.769
2266;1.003;1.737
2287.4;1.003;1.742
2289.8;1.003;1.607
2320.7;1.005;1.607
2331.2;1.005;1.776
2372.2;1.004;1.78
2411.2;1.005;1.786
2456.8;0.994;1.795
2466.4;0.908;1.713
2520.8;0.859;1.716
2563.7;0.86;1.723
2603.6;0.909;1.728
2612.8;0.982;1.809
2637.1;1.016;1.821
2668.1;1.03;1.826
2706.2;1.036;1.834
2742.1;1.045;1.841
2771.1;1.068;1.853
2792.5;1.121;1.889
2813.2;1.175;1.922
2864.9;1.218;1.942
2895.7;1.22;1.959
2923.5;1.22;1.976
2948.8;1.19;1.989
2959.4;1;1.82
3017.2;0.971;1.818
3034.9;1.146;1.924
3070.3;1.141;1.925
3112.2;1.135;1.925
