TVD (m);Pore pressure (s.g.);Fracture pressure (s.g.)
273.2;0.811;1.314
298.2;0.83;1.37
327.8;0.849;1.425
368.8;0.869;1.459
402.4;0.881;1.484
452.8;0.898;1.508
488.3;0.909;1.524
524.3;0.918;1.538
557.3;0.924;1.55
593.4;0.931;1.563
624;0.937;1.571
661.5;0.941;1.585
698.1;0.946;1.596
728.5;0.949;1.602
768.2;0.954;1.614
807.3;0.958;1.624
846.2;0.959;1.633
881.2;0.963;1.64
909.1;0.966;1.647
947.9;0.968;1.653
984.5;0.971;1.662
1034.6;0.976;1.672
1071.5;0.977;1.678
1117;0.979;1.687
1156.6;0.981;1.692
1185.8;0.982;1.698
1226.9;0.983;1.703
1272.6;0.984;1.71
1327.3;0.985;1.716
1371.4;0.986;1.722
1425.4;0.987;1.73
1464.4;0.988;1.733
1512;0.989;1.737
1568.2;0.995;1.739
1622.4;0.994;1.736
1683.5;0.997;1.737
1743.4;0.996;1.736
1793.5;0.998;1.736
1842.2;0.997;1.735
1907.3;1;1.735
1963.6;1;1.735
2020.8;1;1.735
2063.7;1.001;1.739
2103.2;1.002;1.746
2153.4;1.003;1.753
2196.3;1.003;1.755
2236.3;1.002;1.759
2243.6;1.002;1.634
2304.1;1.004;1.631
2317.2;1.005;1.771
2355.1;1.006;1.775
2395.8;1.007;1.779
2425.4;1.008;1.786
2470.2;1.01;1.789
2476.8;0.957;1.717
2521.6;0.871;1.718
2555.8;0.87;1.721
2586.1;0.933;1.728
2590.4;1.007;1.798
2639.9;1.03;1.816
2682.4;1.036;1.824
2723.7;1.042;1.829
2764.5;1.067;1.843
2786.8;1.142;1.885
2811.2;1.206;1.919
2835;1.282;1.96
2845.2;1.15;1.867
2854.1;1.021;1.804
2902.5;0.977;1.806
2953.7;0.975;1.809
2996.8;0.974;1.813
3030.5;0.97;1.815
3078.2;0.962;1.815
3126;0.982;1.817
3134.2;1.114;1.905
3172.7;1.114;1.907
