TVD (m);Pore pressure (s.g.);Fracture pressure (s.g.)
262.5;0.805;1.29
290.2;0.826;1.356
322.6;0.847;1.417
350.4;0.862;1.45
378.2;0.874;1.47
412.5;0.886;1.489
448.2;0.898;1.507
486.6;0.909;1.524
524.9;0.917;1.54
561.3;0.925;1.553
599.7;0.931;1.567
636.2;0.936;1.579
671.4;0.942;1.589
711.3;0.947;1.599
743.2;0.95;1.609
785.3;0.955;1.62
820.2;0.957;1.628
859.5;0.962;1.635
899.9;0.966;1.645
946.3;0.968;1.655
987.2;0.971;1.664
1027.5;0.975;1.672
1069.9;0.978;1.679
1110.6;0.98;1.688
1153.2;0.981;1.694
1198;0.982;1.702
1240.2;0.983;1.706
1290.1;0.987;1.713
1347.8;0.987;1.721
1395.4;0.991;1.727
1442.7;0.991;1.733
1487.8;0.99;1.738
1520.2;0.991;1.738
1554;0.992;1.738
1584.3;0.991;1.737
1613.7;0.991;1.738
1642.6;0.992;1.738
1687.6;0.996;1.737
1736.5;0.996;1.735
1778.8;0.998;1.736
1817.8;0.998;1.735
1853.6;0.999;1.735
1894.2;1.002;1.735
1933.5;1;1.735
1966.6;1.001;1.735
2003.7;1;1.734
2049.2;1.001;1.738
2098.2;1.002;1.747
2141.7;1.003;1.752
2182.1;1.005;1.759
2218.2;1.005;1.764
2255.1;1.005;1.768
2279.9;1.005;1.726
2291.7;1.005;1.607
2325.6;1.005;1.606
2337.9;1.005;1.773
2381.1;1.005;1.781
2420.6;1.005;1.784
2463.2;1.006;1.791
2491;0.959;1.795
2498.4;0.886;1.714
2552.9;0.859;1.721
2594.9;0.859;1.728
2606.8;1.005;1.807
2636.9;1.023;1.821
2691.7;1.034;1.83
2739.6;1.039;1.836
2785.4;1.054;1.848
2813.2;1.102;1.874
2855;1.181;1.918
2886.2;1.196;1.929
2926.8;1.216;1.937
2961.6;1.239;1.951
3000.6;1.267;1.969
3031.9;1.283;1.981
3067.6;1.278;1.987
3082;1.007;1.82
3135.4;0.958;1.817
3154.3;1.146;1.922
3184.8;1.142;1.927
3239.5;1.133;1.925
