TVD (m);Pore pressure (s.g.);Fracture pressure (s.g.)
253.1;0.81;1.152
268.4;0.824;1.192
287;0.837;1.231
306.6;0.85;1.271
329.7;0.863;1.31
356.5;0.876;1.35
388;0.889;1.39
425.3;0.902;1.429
467.4;0.913;1.467
508.8;0.922;1.499
555;0.93;1.528
601.2;0.939;1.555
650.1;0.947;1.578
697.3;0.952;1.598
743.9;0.957;1.616
790.5;0.961;1.632
836.8;0.965;1.647
888.2;0.969;1.661
936.9;0.973;1.674
982.2;0.976;1.685
1029.3;0.98;1.694
1073.1;0.98;1.703
1122.9;0.982;1.712
1174.8;0.986;1.722
1235.6;0.986;1.733
1300.2;0.991;1.744
1362.9;0.993;1.754
1416.8;0.995;1.762
1467.4;0.996;1.769
1520;0.998;1.776
1571.3;0.999;1.783
1613.8;1.015;1.791
1660;1.019;1.798
1711;1.026;1.805
1751.4;1.049;1.815
1805.1;1.091;1.83
1863.3;1.133;1.845
1922.4;1.165;1.855
1982.2;1.147;1.857
2058.7;1.111;1.861
2124.3;1.117;1.866
2173.7;1.152;1.879
2239.3;1.135;1.878
2266.2;1.074;1.866
2300.3;1.044;1.868
2378.1;1.03;1.883
2432.6;1.029;1.898
2486.9;1.033;1.904
2547.9;1.05;1.903
2605.4;1.067;1.907
2660;1.082;1.911
2716;1.097;1.918
2774.7;1.115;1.926
2842.6;1.134;1.941
2881.3;1.146;1.965
2936.8;1.222;1.978
2999.5;1.264;1.985
3024.9;1.203;1.958
3092.7;1.131;1.958
3150;1.133;1.964
3205.6;1.134;1.968
