TVD (m);Pore pressure (s.g.);Fracture pressure (s.g.)
279.8;0.816;1.337
309.5;0.838;1.373
339.3;0.855;1.397
376.5;0.873;1.415
413;0.886;1.437
451.4;0.899;1.455
485.5;0.908;1.471
518.1;0.915;1.484
551.6;0.921;1.496
588.2;0.929;1.51
621.1;0.934;1.521
653.1;0.939;1.53
687.6;0.944;1.541
720.6;0.948;1.552
755.5;0.953;1.56
798.4;0.953;1.569
837.3;0.959;1.58
878.5;0.963;1.589
912.2;0.966;1.596
942.5;0.97;1.603
980.9;0.972;1.609
1015.3;0.973;1.616
1048.9;0.976;1.623
1086.2;0.979;1.63
1126.6;0.982;1.636
1166.9;0.981;1.642
1208.5;0.981;1.648
1252.8;0.984;1.655
1298.3;0.983;1.662
1347.4;0.986;1.67
1394.1;0.988;1.675
1428.7;0.989;1.678
1473;0.989;1.683
1510.2;0.991;1.687
1544.7;0.992;1.691
1591.3;0.991;1.697
1634.4;0.995;1.702
1672.5;0.995;1.705
1708.7;0.995;1.71
1747.9;0.995;1.712
1791.5;0.995;1.717
1840.3;0.996;1.721
1876.2;0.999;1.723
1911.2;1;1.727
1951.1;1.001;1.73
1992;1.001;1.734
2029;1.003;1.737
2071.2;1.003;1.745
2121.6;1.003;1.751
2174.8;1.003;1.757
2209.6;1.002;1.761
2237.5;1.003;1.764
2246.4;1.003;1.629
2294.4;1.004;1.631
2301.3;1.004;1.77
2349.4;1.005;1.777
2404.1;1.005;1.784
2444.7;0.998;1.786
2451.9;0.801;1.648
2522.4;0.801;1.659
2593.3;0.801;1.667
2600.6;0.964;1.811
2647.9;1.03;1.82
2685.1;1.034;1.826
2721.1;1.038;1.83
2771.6;1.057;1.839
2793.2;1.113;1.875
2814.2;1.172;1.906
2833;1.237;1.941
2872.2;1.286;1.967
2882;1.167;1.899
2926.5;1.138;1.9
2971.9;1.131;1.901
3006.3;1.129;1.904
3038.8;1.126;1.904
3071.3;1.121;1.904
3103.8;1.115;1.904
3139.6;1.109;1.904
