Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.31;12.25;1.075;231.5
Steerable rotary tool;8.66;9.25;3.5;104.6
MWD;8.39;8.25;2.8125;137.5
MWD;6.04;8.25;2.8125;231.5
Drill collar;18.35;8;2.875;223.2
Drill collar;18.89;8.25;2.875;238.1
Jar;10.03;8.25;2.875;186
Drill collar;28.22;8.25;2.8125;238.1
HW drillpipe;187.05;5.5;3.25;77.8
Drillpipe;2482;5.33;4.67;36.8
