Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.3;12.25;0.863;231.5
Steerable rotary tool;9.29;9.63;7.88;223.2
Stabilizer;1.5;8;2.81;144.8
MWD;7.53;8.25;5.11;231.5
MWD;8.11;8.25;5.9;137.5
Drill collar;17.14;8;2.81;223.2
Drill collar;20;8.25;2.81;238.1
Jar;9.75;8.25;3;186
Drill collar;39.99;8.25;2.81;238.1
HW drillpipe;37.8;5.5;3.25;77.8
Drillpipe;476;5.33;4.67;36.8
