Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.44;12.25;1.779;231.5
Stabilizer;1.5;8.25;3;144.8
MWD;5.49;8.25;2.81;231.5
Stabilizer;1;8.25;3;233.8
MWD;8.11;8.25;5.9;137.5
Stabilizer;1;8.25;3;233.8
Drill collar;20;8;2.8125;223.2
Drill collar;20;8.25;2.8125;238.1
Jar;9.75;8.25;3;186
Drill collar;30;7;2.8125;163.7
Drillpipe;1016;5.5;4.67;36.8
