Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.25;12.25;1.387;231.5
Steerable rotary tool;4.22;9.5;3;245.6
MWD;8.34;8.3125;5.125;137.5
MWD;6.36;9.0625;2.8125;231.5
Drill collar;18.07;8.3125;2.875;238.1
Drill collar;18.89;8.625;2.875;255.9
Jar;10.25;8.375;4.8125;186
Drill collar;28.22;8.375;2.875;238.1
HW drillpipe;74.82;5.5;3.25;75
Drillpipe;1404;5.5;4.67;36.8
