Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.3;8.5;1.178;179.9
Stabilizer;0.32;6.75;2.812;144.8
Steerable rotary tool;9.67;6.75;4;144.8
Stabilizer;1.67;6.75;2.812;144.8
MWD;10.90;7;3;80.1
HW drillpipe;27.39;5;3;71.4
Jar;9.46;6.5;2.75;186
HW drillpipe;82.76;5;3;71.4
Drillpipe;2241;5;4.276;29
