Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.45;17.5;1.381;333.2
Steerable rotary tool;4.31;11.25;9.25;245.6
Stabilizer;1.83;9.5;3;321.6
MWD;8.42;9.625;6.25;263.8
MWD;6.29;10;4.25;297.6
Drill collar;18.65;9.625;3.5;311
Drill collar;18.89;8.625;2.875;255.9
Jar;10.03;8.375;2.875;186
Drill collar;28.22;8.375;2.875;238.1
HW drillpipe;37.57;5.5;3.25;77.8
Drillpipe;1233.34;5.5;4.67;36.8
