Type;Length (m);OD (in);ID (in);Lin. weight (kg/m)
Bit;0.45;17.5;1.22;303.1
Steerable rotary tool;8.81;9.625;3.1875;299.3
Float sub;0.6;9.625;3;332.3
Stabilizer;2.42;9.5;2.5;321.6
MWD;8.13;9.25;3.75;202.4
MWD;8.96;9.5;6.25;202.4
Stabilizer;1.57;9.5;3;321.6
Drill collar;15.94;9.5;2.8125;327.4
Drill collar;19.08;8.25;2.8125;238.1
Jar;9.47;8.25;2.8125;186
Drill collar;28.5;8.25;2.8125;238.1
HW drillpipe;73.85;5.5;3;77.8
Drillpipe;563;5.5;4.67;36.8
