Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.33;12.25;1.208;198.6
Steerable rotary tool;2.54;9.5;2.48;267.9
ASM;1.99;9.375;2.48;80.1
Steerable rotary tool;9.22;9.5;6.78;267.9
Stabilizer;2.99;9.375;3.118;144.8
MWD;7;9.5;3;137.5
Stabilizer;1.68;7.875;2.875;233.8
Float sub;1.11;8;2.875;149.1
HW drillpipe;27.24;6.625;2.875;127.2
Jar;9.69;8;3;186
HW drillpipe;45.44;6.625;2.875;127.2
HW drillpipe;99.99;5.5;3;77.8
Drillpipe;2591;5.5;4.67;29
