Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.28;8.5;0.9465;179.9
Steerable rotary tool;2.17;6.9375;2;180.8
Stabilizer;2.49;7;3;144.8
MWD;2.24;7;3;80.1
MWD;7.04;7;3;134.7
Stabilizer;2.59;7;3;144.8
LWD;2.85;6.875;2.25;176.5
PWD;2.75;7;2.25;148.8
HW drillpipe;9.46;7;2.875;77.8
Float sub;1.24;7;2.8125;165.2
HW drillpipe;40.66;5.5;3.875;77.8
Jar;9.91;6.5;2.75;88.4
HW drillpipe;81.3;5.5;3.875;77.8
Drillpipe;3233;5;4.267;29
