Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.43;17.5;1.512;303.1
Steerable rotary tool;4.26;9.5;3;245.6
Stabilizer;1.64;9.5;3;321.6
MWD;8.37;9.688;5.9;231.5
MWD;6.43;9.5;4.25;216.1
Stabilizer;2.36;9.5;3.063;321.6
Drill collar;28.02;9.125;3.5;273.8
Drill collar;18.89;8.625;2.938;251.5
Jar;10.25;8.25;4.813;186
Drill collar;18.97;8.625;2.875;255.9
HW drillpipe;40.64;5.5;3.438;77.8
Drillpipe;1454;5.5;4.67;36.8
