Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.25;8.5;1.054;123.1
Steerable rotary tool;7.68;6.75;5.5;155.3
Stabilizer;2.26;6.75;3;233.8
MWD;5.49;6.7;2.81;80.1
MWD;8.14;6.75;5.11;80.1
Drill collar;39.99;6.75;2.81;148.8
Jar;9.52;6.5;2.75;88.4
Drill collar;40;6.75;2.81;148.8
HW drillpipe;37.8;5.5;3.25;77.8
Drillpipe;1050;5.33;4.67;36.8
