Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.47;17.5;1.3254;303.1
Steerable rotary tool;2.53;9.5;3;245.6
MWD;1.46;9.5;3;231.5
Stabilizer;2.99;9.5;3.25;321.6
MWD;7.01;9.5;3.25;216.1
Stabilizer;2.43;8;2.875;233.8
Float sub;0.77;8;2.875;332.3
Drill collar;8.82;8.25;2.8125;238.1
Stabilizer;2.23;8;2.875;233.8
Drill collar;26.6;8.25;2.875;238.1
Jar;9.68;8;3;186
Drill collar;27.18;8.25;2.875;238.1
HW drillpipe;99.99;5.5;3.875;77.8
Drillpipe;1371;5.5;4.67;36.8
