Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.24;8.5;1.11;179.9
Steerable rotary tool;9.61;6.75;4;148.8
Stabilizer;1.86;6.75;2.812;144.8
MWD;10.99;7.2;3;80.1
HW drillpipe;28.1;5;3;71.4
Jar;9.44;6.5;2.75;186
HW drillpipe;82.53;5;3;71.4
Drillpipe;2242;5;4.276;29
