Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.32;8.5;0.9465;179.9
Steerable rotary tool;2.17;7.625;2;180.8
MWD;1.24;7;3;80.1
Stabilizer;2.56;7.0625;3;144.8
MWD;2.25;7;3;137.4
MWD;6.6;7;3;80.1
Stabilizer;2.57;7;3;144.8
LWD;2.79;6.875;3;134.4
LWD;2.75;6.75;3;134.7
HW drillpipe;18;6.875;2.75;77.8
Float sub;1.01;6.875;3;165.2
HW drillpipe;40.62;5.5;3.875;77.8
Jar;9.92;6.5;2.75;88.4
HW drillpipe;81.32;5.5;3.875;77.8
Drillpipe;3326;5;4.276;29
