Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.25;8.5;1.052;179.9
Steerable rotary tool;7.63;7.625;3.25;180.8
LWD;7.89;7.0;2.81;148.8
MWD;8.26;6.75;5.1;80.1
LWD;7.64;7.4375;3.29;156.3
PWD;10.69;7.0;2.81;134.4
HW drillpipe;18.85;5;3;71.4
Jar;9.92;6.625;2.75;88.4
HW drillpipe;28.35;5;3;71.4
Drillpipe;1628.89;5;4.28;29
Drillpipe;1039;5.5;4.67;36.8
