Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.44;17.5;1.381;303.1
Steerable rotary tool;4.3;9.125;5.125;245.6
Stabilizer;1.82;9.5;4;321.6
MWD;5.8;9.313;2.81;231.5
MWD;8.32;9.75;5.109;216.1
Stabilizer;0.99;12;3;321.6
LWD;7.61;8.125;5;229.2
Stabilizer;2.42;9.5;2.813;321.6
Drill collar;9.29;9.75;3.063;334.8
Drill collar;19.11;8.375;2.813;238.1
Jar;9.68;8.063;2.813;186
Drill collar;37.99;8.25;2.813;238.1
HW drillpipe;37.62;5.5;3.25;77.8
Drillpipe;1137;5.5;4.67;36.8
