Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.46;17.5;1.3254;303.1
Steerable rotary tool;2.54;9.5;3;299.3
MWD;1.46;9.5;3;283.1
Stabilizer;2.99;9.5;3.25;321.6
MWD;1.65;9.5;3.25;202.4
Stabilizer;2.25;8.0625;3.25;321.6
Float sub;0.64;8;2.875;332.3
Drill collar;8.83;8.25;2.8125;238.1
Stabilizer;2.33;8;2.875;321.6
Drill collar;27;8.25;2.875;238.1
Jar;9.69;8;3;186
Drill collar;27;8.25;2.875;238.1
HW drillpipe;99.99;5.5;3.875;77.8
Drillpipe;1367;5.5;4.67;36.8
