Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.25;8.5;1.059;179.9
Steerable rotary tool;7.65;7.625;3.25;180.8
LWD;8.03;7.0;2.81;148.8
MWD;8.49;6.75;5.1;80.1
LWD;7.55;7.4375;3.29;156.3
LWD;10.67;7.0;2.81;134.4
HW drillpipe;18.84;5;3;71.4
Jar;9.92;6.625;2.75;88.4
HW drillpipe;28.36;5;3;71.4
Drillpipe;1099.37;5;4.28;29
Drillpipe;1568;5.5;4.67;36.8
