Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.25;8.5;0.72;179.9
Steerable rotary tool;7.62;6.875;3.1875;180.8
LWD;3.65;6.75;3.9375;176.5
Float sub;1.18;6.8125;2.875;165.2
Stabilizer;1.66;6.75;2.8125;144.8
LWD;7.53;6.875;3.9375;134.7
LWD;8;6.875;3.9375;148.8
MWD;8.39;6.75;5.1;80.1
PWD;10.57;6.875;3;134.4
HW drillpipe;18.7;5;2.8125;71.4
Jar;9.79;6.6875;2.75;88.4
HW drillpipe;56.5;5;3;71.4
Drillpipe;2606;5;4.25;29
