Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.4;12.25;1.4266;231.5
Steerable rotary tool;2.52;9.5;2.48;104.6
MWD;2.22;9.5;2.875;137.5
Stabilizer;2.99;9.375;3.125;295.1
MWD;6.98;9.5;3;231.5
Stabilizer;2.82;7.9375;2.875;233.8
Float sub;0.94;7.875;2.875;165.2
Drill collar;18.65;8.25;2.875;238.1
Jar;9.69;8;3;186
Drill collar;9.34;8.25;2.875;238.1
HW drillpipe;121.94;5.5;3;77.8
Drillpipe;2661;5.5;4.67;36.8
