Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.31;12.25;1.075;212.6
Steerable rotary tool;4.74;9.25;3.1875;223.2
MWD;8.37;9.125;2.875;231.5
MWD;6.42;9.25;2.875;216.1
Stabilizer;1.51;8.1875;3;233.8
Drill collar;18.89;8.375;2.875;255.9
Drill collar;37.72;8.25;2.875;238.1
Jar;10;8.375;3.25;186
Drill collar;9.29;8.25;2.875;238.1
HW drillpipe;37.57;5.5;3;77.8
Drillpipe;1481;5.5;4.67;36.8
