Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.2;6;1.11;107.9
Steerable rotary tool;9.43;4.75;2.25;89.3
Stabilizer;2.09;4.75;2.25;86.9
Float sub;0.76;4.75;2.25;99.1
MWD;10.90;4.75;2.25;48.1
Drill collar;28.3;4.75;2.25;69.9
HW drillpipe;40.00;3.5;2.063;39.9
Jar;9.07;4.75;2.25;111.6
HW drillpipe;36.83;3.5;2.063;39.9
Drillpipe;3266;3.5;2.992;14.1
