Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.45;17.5;1.452;303.1
Steerable rotary tool;4.3;9.75;3.1875;245.6
Stabilizer;1.71;9.5;3;321.6
LWD;7.07;8.5;4.1875;229.2
Stabilizer;0.95;8.5;4.1875;229.2
MWD;7.91;8.375;5.111;231.5
LWD;6.76;8.375;5;229.2
Drill collar;17.76;8.125;2.1875;238.1
Drill collar;28.57;8.25;3;235.1
Jar;10.43;8.25;3;186
Drill collar;39.99;8;3;218.7
HW drillpipe;99.99;5.5;3;77.8
Drillpipe;1337;5.5;4.78;36.8
