Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.34;12.25;1.2303;198.6
Steerable rotary tool;2.51;9.5;2.48;267.9
ASM;1.99;9.5;2.875;80.1
Steerable rotary tool;9.23;9.5;6.78;267.9
Stabilizer;2.99;9.5;3.125;144.8
MWD;6.95;9.625;3;231.5
Stabilizer;2.2;8;2.875;233.8
Float sub;0.8;8.40625;2.875;149.1
Drill collar;18.79;8.25;2.875;238.1
Jar;9.69;8;3;186
Drill collar;8.68;8.25;2.875;238.1
HW drillpipe;99.99;5.5;3;77.8
Drillpipe;2549;5.5;4.67;36.8
