Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.28;8.5;0.9465;179.9
Steerable rotary tool;2.17;7.625;2;148.8
Stabilizer;2.48;6.9375;3;148.8
ASM;1.99;7.125;3;80.1
MWD;5.16;7;3;80.1
Stabilizer;2.56;7;3;144.8
LWD;7.33;6.875;3;134.7
Stabilizer;2.17;6.8125;2.25;144.8
Float sub;0.84;6.75;3;149.1
HW drillpipe;40.64;5.5;3.875;77.8
Jar;9.91;6.5;2.75;186
HW drillpipe;81.3;5.5;3.875;77.8
Drillpipe;2644;5;4.276;29
