Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.23;8.5;1.054;179.9
Steerable rotary tool;7.64;6.75;5.5;148.8
LWD;8.05;6.75;3.875;148.8
MWD;8.47;6.875;3.875;80.1
PWD;7.63;7.5;3.875;134.4
MWD;10.57;7.0;3.875;132.7
HW drillpipe;18.98;5.5;2.875;77.8
Jar;10.23;7.062;2.562;88.35
HW drillpipe;56.35;5.5;2.875;77.8
Drillpipe;3518;5;4.276;29
