Type;Length (m);OD (in);ID (in);Lin. weight (kg/m)
Bit;0.26;12.25;1.107;198.6
Steerable rotary tool;4.22;9.25;3.1875;267.9
Stabilizer;1.88;8.0625;3;144.8
MWD;8.27;8.375;2.875;137.5
MWD;6.26;9.125;2.875;231.5
Stabilizer;1.62;8.0625;2.8125;233.8
Drill collar;8.32;8;3;218.7
Drill collar;19.23;8.25;2.8125;238.1
Jar;10.19;8.25;4.25;186
Drill collar;28.5;8.25;2.8125;238.1
HW drillpipe;37.59;5.5;3.25;77.8
Drillpipe;1564;5.5;4.67;36.8
