Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.5;17.5;1.3254;303.1
Steerable rotary tool;2.52;9.5;3;299.3
Stabilizer;2.99;9.5;3;321.6
MWD;6.95;9.5;3.25;283.1
Stabilizer;2.28;8;3;321.6
Float sub;0.98;8;2.875;332.3
Drill collar;9.34;8.25;2.8125;238.1
Stabilizer;2.23;8;2.875;321.6
Drill collar;27.47;8.25;2.875;238.1
Jar;9.69;8;3;186
Drill collar;26.77;8.25;2.875;238.1
HW drillpipe;99.99;5.5;3.875;77.8
Drillpipe;1362;5.5;4.67;36.8
