Type;Length (m);OD (in);ID (in);Lin. weight (kg/m)
Bit;0.26;8.5;0.663;179.9
Steerable rotary tool;4.09;6.75;3.1875;148.8
Stabilizer;1.74;6.75;3;144.8
LWD;7.92;6.75;3.9375;144.8
MWD;8.38;6.75;3.9375;80.1
LWD;10.1;6.75;3.9375;13.4
PWD;7.89;6.75;3.9375;134.7
Stabilizer;1.73;6.8125;2.8125;144.8
HW drillpipe;18.61;6.75;2.8125;77.8
HW drillpipe;18.88;6.625;2;77.8
Jar;10.28;6.8125;2.75;88.4
HW drillpipe;28.16;6.625;2;77.8
Drillpipe;1464.48;5;4.25;29
Drillpipe;1736;5.5;4.67;36.8
