Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.33;12.25;0.863;231.5
Stabilizer;2.37;9.5;2.8125;144.8
MWD;6.22;9.1;2.81;231.5
Stabilizer;1.53;9.5;2.8125;233.8
MWD;8.97;8.31;5.109;137.5
Stabilizer;2.28;9.5;2.8125;233.8
Drill collar;9.34;8.31;2.8125;238.1
Drill collar;9.17;8.25;2.8125;238.1
Drill collar;18.89;8;2.8125;223.2
Jar;10.25;8.16;2.81;186
Drill collar;28.22;8;2.8125;223.2
HW drillpipe;37.68;5.5;3.25;77.8
Drillpipe;980;5.5;4.67;36.8
