Type;Length (m);OD (in);ID (in);Lin. weight (kg/m)
Bit;0.26;12.25;1.107;231.5
Steerable rotary tool;4.21;9.1875;3.1875;233.8
Stabilizer;1.88;8.3125;3;295.1
LWD;7.14;8.625;2.8125;229.2
LWD;10.16;8.5;4.1875;229.2
Stabilizer;0.94;8.5;4.1875;233.8
MWD;7.15;8.375;5.111;231.5
MWD;5.8;8.375;5;137.5
MWD;6.84;8.375;5;231.5
Drill collar;17.76;8.125;2.8125;238.1
Drill collar;28.57;8.25;3;235.1
Jar;10.43;8.25;3;186
Drill collar;39.99;8.25;3;235.1
HW drillpipe;37.66;5.5;3;77.8
Drillpipe;2533;5.5;4.78;38.6
