Type;ID (in);OD (in);From depth (m);To depth (m)
riser;19.166;21;0;146
casing;28;30;146;221
casing;18.73;20;146;1368
casing;12.347;13.375;146;2562
casing;9.66;10.75;146;1796
casing;8.535;9.625;1796;2915
liner;6.184;7;2810;3231
