Type;ID (in);OD (in);From depth (m);To depth (m)
riser;19.166;21;0;146
casing;28;30;146;202
casing;18.73;20;146;1358
casing;12.4;14;146;2571
casing;9.66;10.75;146;616
casing;8.535;9.625;616;3192
liner;6.184;7;3095;4768
