Type;ID (in);OD (in);From depth (m);To depth (m)
riser;19.166;21;0;146
casing;28;30;146;197
casing;18.73;20;146;1077
casing;12.66;14;146;2275
casing;9.66;10.75;146;1604
casing;8.535;9.625;1604;2784
liner;6.184;7;2616;3695
