Type;ID (in);OD (in);From depth (m);To depth (m)
riser;19.166;21;0;146
casing;28;30;146;221
casing;18.73;20;146;1368
casing;12.347;13.375;146;2612
casing;9.56;10.75;146;600
casing;8.535;9.625;600;3295
liner;6.184;7;2979;4684
