Type;ID (in);OD (in);From depth (m);To depth (m)
riser;19.166;21;0;146
casing;28;30;146;202
casing;18.73;20;146;1389
casing;12.347;13.375;146;2608
liner;8.535;9.625;2507;3441
open hole;NaN;8.5;3441;5331
