Section (in);Type;Density (s.g.);3 rpm;6 rpm;30 rpm;60 rpm;100 rpm;200 rpm;300 rpm;600 rpm;Gel strength 10 s (Pa);Gel strength 10 min (Pa);Oil/water ratio (%)
12.25;oil-based;1.41;13;14;19;24;30;42;52;74;7;12;70/30
8.5;oil-based;1.46;13;14;18;23;29;40;49;68;7;12;75/25
