Section (in);Type;Density (s.g.);3 rpm;6 rpm;30 rpm;60 rpm;100 rpm;200 rpm;300 rpm;600 rpm;Gel strength 10 s (Pa);Gel strength 10 min (Pa);Oil/water ratio (%)
17.5;oil-based;1.44;10;11;16;20;25;37;46;66;4;6;72/28
8.5;oil-based;1.35;13;14;18;22;27;35;42;56;7;10;76/24
