Section (in);Type;Density (s.g.);3 rpm;6 rpm;30 rpm;60 rpm;100 rpm;200 rpm;300 rpm;600 rpm;Gel strength 10 s (Pa);Gel strength 10 min (Pa);Oil/water ratio (%)
12.25;oil-based;1.28;9;10;14;19;24;36;45;67;5;7;74/26
8.5;oil-based;1.21;7;8;12;16;21;33;43;69;7;10;74/26
