Section (in);Type;Density (s.g.);3 rpm;6 rpm;30 rpm;60 rpm;100 rpm;200 rpm;300 rpm;600 rpm;Gel strength 10 s (Pa);Gel strength 10 min (Pa);Oil/water ratio (%)
12.25;oil-based;1.28;10;11;16;21;27;41;52;82;6;7;75/25
8.5;oil-based;1.32;13;14;19;24;31;44;55;82;6;7;75/25
