Section (in);Type;Density (s.g.);3 rpm;6 rpm;30 rpm;60 rpm;100 rpm;200 rpm;300 rpm;600 rpm;Gel strength 10 s (Pa);Gel strength 10 min (Pa);Oil/water ratio (%)
12.25;oil-based;1.43;14;15;20;24;31;43;52;73;7;12;75/25
8.5;oil-based;1.46;12;13;17;21;27;38;46;65;7;12;75/25
